Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds)
1,123.847,6.192
1,136.485,6.824
1,137.614,6.881
2,343.183,34.318
2,335.171,33.517
2,325.539,32.554
3,290.481,43.572
3,289.375,43.406
3,294.037,44.106
4,290.826,58.165
4,293.628,58.726
4,292.933,58.587
5,225.695,56.424
5,226.71,56.677
5,228.979,57.245
6,199.08,59.724
6,202.071,60.621
6,200.971,60.291
7,202.779,70.973
7,205.079,71.778
7,205.764,72.017
8,216.549,86.62
8,218.012,87.205
8,218.291,87.316
9,198.047,89.121
9,198.549,89.347
9,199.942,89.974
10,208.329,104.165
10,202.566,101.283
10,203.267,101.633
11,201.821,111.002
11,203.61,111.986
11,203.648,112.006
12,203.45,122.07
12,202.643,121.586
12,203.712,122.227
13,203.923,132.55
13,205.599,133.639
13,205.132,133.336
14,207.19,145.033
14,207.67,145.369
14,207.841,145.489
15,220.089,165.067
15,223.011,167.258
15,224.457,168.343
16,220.831,176.665
16,219.544,175.635
16,222.818,178.254
17,220.125,187.106
17,218.841,186.015
17,218.713,185.906
18,200.649,180.584
18,202.511,182.26
18,203.481,183.133
19,205.244,194.982
19,205.7,195.415
19,206.178,195.869
20,205.346,205.346
20,205.898,205.898
20,206.41,206.41
