Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds),,,,,Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds)
1,423.059,21.153,,,,,1,362.755,18.138
1,416.99,20.849,,,,,1,362.065,18.103
1,424.736,21.237,,,,,1,362.305,18.115
2,232.156,23.216,,,,,2,196.793,19.679
2,232.21,23.221,,,,,2,196.912,19.691
2,230.177,23.018,,,,,2,199.455,19.946
3,168.021,25.203,,,,,3,143.667,21.55
3,168.657,25.299,,,,,3,145.559,21.834
3,169.489,25.423,,,,,3,145.079,21.762
4,127.892,25.578,,,,,4,126.868,25.374
4,127.636,25.527,,,,,4,124.956,24.991
4,128.966,25.793,,,,,4,125.802,25.16
5,125.46,31.365,,,,,5,127.438,31.86
5,125.677,31.419,,,,,5,130.191,32.548
5,125.556,31.389,,,,,5,129.899,32.475
6,138.157,41.447,,,,,6,139.524,41.857
6,135.639,40.692,,,,,6,140.624,42.187
6,137.439,41.232,,,,,6,140.181,42.054
7,125.3,43.855,,,,,7,126.396,44.239
7,124.142,43.45,,,,,7,130.722,45.753
7,124.836,43.693,,,,,7,131.039,45.864
8,127.981,51.192,,,,,8,135.421,54.168
8,128.226,51.29,,,,,8,131.61,52.644
8,130.643,52.257,,,,,8,135.797,54.319
9,138.961,62.532,,,,,9,138.974,62.538
9,136.601,61.47,,,,,9,140.327,63.147
9,137.632,61.934,,,,,9,143.38,64.521
10,123.981,61.99,,,,,10,127.35,63.675
10,124.384,62.192,,,,,10,128.923,64.462
10,124.186,62.093,,,,,10,131.522,65.761
11,124.398,68.419,,,,,11,131.747,72.461
11,124.69,68.579,,,,,11,132.357,72.796
11,124.274,68.351,,,,,11,132.562,72.909
12,124.552,74.731,,,,,12,130.987,78.592
12,123.306,73.984,,,,,12,131.935,79.161
12,124.587,74.752,,,,,12,132.148,79.289
13,124.906,81.189,,,,,13,132.704,86.258
13,123.225,80.096,,,,,13,133.084,86.505
13,124.414,80.869,,,,,13,132.272,85.977
14,124.9,87.43,,,,,14,132.003,92.402
14,122.903,86.032,,,,,14,133.126,93.188
14,123.543,86.48,,,,,14,135.443,94.81
15,123.474,92.606,,,,,15,132.083,99.062
15,125.937,94.453,,,,,15,134.175,100.631
15,124.439,93.329,,,,,15,134.118,100.588
16,130.234,104.187,,,,,16,133.949,107.159
16,127.601,102.081,,,,,16,134.461,107.569
16,129.523,103.618,,,,,16,137.585,110.068
17,132.416,112.554,,,,,17,136.376,115.92
17,132.161,112.337,,,,,17,137.152,116.579
17,134.148,114.026,,,,,17,139.057,118.198
18,137.793,124.014,,,,,18,141.364,127.228
18,137.274,123.547,,,,,18,141.768,127.591
18,138.069,124.262,,,,,18,142.719,128.447
19,122.287,116.173,,,,,19,128.192,121.782
19,124.332,118.115,,,,,19,130.041,123.539
19,123.498,117.323,,,,,19,129.767,123.279
20,124.476,124.476,,,,,20,132.323,132.323
20,125.663,125.663,,,,,20,134.825,134.825
20,123.572,123.572,,,,,20,132.057,132.057
