 7e134b6be23f, image-classification-batch-alexnet-cpu.1.cysvno6pcywr3qd3vzzwsxaoe,104.27,574.61,3.7
 7e134b6be23f, image-classification-batch-alexnet-cpu.1.cysvno6pcywr3qd3vzzwsxaoe,105.07,593.59,3.7
 7e134b6be23f, image-classification-batch-alexnet-cpu.1.cysvno6pcywr3qd3vzzwsxaoe,105.01,590.19,3.7
 7e134b6be23f, image-classification-batch-alexnet-cpu.1.cysvno6pcywr3qd3vzzwsxaoe,104.72,591.51,3.7
 7e134b6be23f, image-classification-batch-alexnet-cpu.1.cysvno6pcywr3qd3vzzwsxaoe,104.69,584.87,3.7
 7e134b6be23f, image-classification-batch-alexnet-cpu.1.cysvno6pcywr3qd3vzzwsxaoe,103.93,586.71,3.7
 7e134b6be23f, image-classification-batch-alexnet-cpu.1.cysvno6pcywr3qd3vzzwsxaoe,104.82,586.93,3.7
 7e134b6be23f, image-classification-batch-alexnet-cpu.1.cysvno6pcywr3qd3vzzwsxaoe,105.03,592.21,3.7
 7e134b6be23f, image-classification-batch-alexnet-cpu.1.cysvno6pcywr3qd3vzzwsxaoe,105.1,592.39,3.7
 7e134b6be23f, image-classification-batch-alexnet-cpu.1.cysvno6pcywr3qd3vzzwsxaoe,104.94,592.74,3.7
 7e134b6be23f, image-classification-batch-alexnet-cpu.1.cysvno6pcywr3qd3vzzwsxaoe,104.91,592.39,3.7
 7e134b6be23f, image-classification-batch-alexnet-cpu.1.cysvno6pcywr3qd3vzzwsxaoe,104.94,592.61,3.7
 7e134b6be23f, image-classification-batch-alexnet-cpu.1.cysvno6pcywr3qd3vzzwsxaoe,104.92,594.79,3.7
 7e134b6be23f, image-classification-batch-alexnet-cpu.1.cysvno6pcywr3qd3vzzwsxaoe,104.89,591.92,3.7
 7e134b6be23f, image-classification-batch-alexnet-cpu.1.cysvno6pcywr3qd3vzzwsxaoe,104.99,588.54,3.7
,,104.8153333,589.7333333,
