Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds)
10, 21.631, 21.631
10, 21.674, 21.674
10, 21.830, 21.830
1, 104.561, 10.456
1, 104.647, 10.465
1, 104.772, 10.477
2, 21.001, 4.200
2, 21.006, 4.201
2, 21.074, 4.215
3, 22.086, 6.626
3, 21.075, 6.322
3, 21.079, 6.324
4, 21.117, 8.447
4, 21.086, 8.434
4, 21.183, 8.473
5, 21.257, 10.629
5, 21.190, 10.595
5, 21.204, 10.602
6, 21.411, 12.847
6, 21.270, 12.762
6, 21.273, 12.764
7, 21.299, 14.909
7, 21.358, 14.951
7, 21.273, 14.891
8, 21.642, 17.314
8, 21.632, 17.306
8, 21.408, 17.126
9, 21.452, 19.307
9, 21.362, 19.226
9, 21.642, 19.478
