Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds)
10, 18.903, 9.451
10, 19.059, 9.530
10, 19.694, 9.847
11, 19.143, 10.529
11, 18.947, 10.421
11, 18.981, 10.440
12, 18.685, 11.211
12, 20.047, 12.028
12, 18.860, 11.316
13, 18.990, 12.343
13, 19.873, 12.917
13, 19.215, 12.490
14, 19.469, 13.628
14, 19.766, 13.836
14, 19.615, 13.730
15, 19.667, 14.750
15, 19.738, 14.803
15, 19.451, 14.588
16, 19.515, 15.612
16, 19.616, 15.693
16, 19.899, 15.919
17, 20.562, 17.478
17, 20.134, 17.114
17, 19.926, 16.937
18, 19.679, 17.711
18, 19.361, 17.425
18, 20.076, 18.068
19, 22.672, 21.538
19, 20.107, 19.102
19, 20.218, 19.207
1, 49.532, 2.477
1, 49.995, 2.500
1, 48.837, 2.442
20, 19.647, 19.647
20, 20.275, 20.275
20, 19.793, 19.793
2, 29.249, 2.925
2, 30.638, 3.064
2, 29.277, 2.928
3, 23.037, 3.456
3, 22.703, 3.405
3, 23.079, 3.462
4, 19.232, 3.846
4, 19.218, 3.844
4, 19.275, 3.855
5, 19.461, 4.865
5, 18.726, 4.681
5, 20.826, 5.207
6, 19.338, 5.801
6, 18.782, 5.635
6, 19.395, 5.819
7, 18.975, 6.641
7, 19.156, 6.705
7, 18.566, 6.498
8, 19.938, 7.975
8, 19.241, 7.696
8, 20.029, 8.012
9, 20.033, 9.015
9, 20.213, 9.096
9, 19.361, 8.712
