Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds),,,,,Total_Time(seconds)
1,52.678,2.634,,,,,58.878
1,52.353,2.618,,,,,58.634
1,52.851,2.643,,,,,59.727
2,170.954,17.095,,,,,204.163
2,202.922,20.292,,,,,194.446
2,199.037,19.904,,,,,198.431
3,187.677,28.152,,,,,194.46
3,187.386,28.108,,,,,193.757
3,186.957,28.044,,,,,190.008
4,193.551,38.71,,,,,194.955
4,197.792,39.558,,,,,193.366
4,199.1,39.82,,,,,193.388
5,148.57,37.142,,,,,149.171
5,149.667,37.417,,,,,151.105
5,148.654,37.163,,,,,149.676
6,127.592,38.278,,,,,130.818
6,126.373,37.912,,,,,131.299
6,127.13,38.139,,,,,130.973
7,132.152,46.253,,,,,136.968
7,129.994,45.498,,,,,136.026
7,130.974,45.841,,,,,135.006
8,140.489,56.196,,,,,142.89
8,140.168,56.067,,,,,143.29
8,138.363,55.345,,,,,144.349
9,125.433,56.445,,,,,130.014
9,125.349,56.407,,,,,129.825
9,124.731,56.129,,,,,129.991
10,130.692,65.346,,,,,134.135
10,129.87,64.935,,,,,133.786
10,129.572,64.786,,,,,134.014
11,130.074,71.541,,,,,133.949
11,129.696,71.333,,,,,133.851
11,129.905,71.448,,,,,134.167
12,131.31,78.786,,,,,135.207
12,130.171,78.103,,,,,135.333
12,130.576,78.346,,,,,135.425
13,132.21,85.936,,,,,135.469
13,131.42,85.423,,,,,136.062
13,130.603,84.892,,,,,135.248
14,132.651,92.856,,,,,136.381
14,131.556,92.089,,,,,137.292
14,132.586,92.81,,,,,136.536
15,146.05,109.537,,,,,149.663
15,146.304,109.728,,,,,148.804
15,147.251,110.438,,,,,147.893
16,143.227,114.582,,,,,146.793
16,143.276,114.621,,,,,148.052
16,142.563,114.05,,,,,147.902
17,141.679,120.427,,,,,146.347
17,146.161,124.237,,,,,140.68
17,133.894,113.81,,,,,143.31
18,128.956,116.06,,,,,132.532
18,128.929,116.036,,,,,132.614
18,128.155,115.34,,,,,132.141
19,132.935,126.288,,,,,137.076
19,133.341,126.674,,,,,136.729
19,133.11,126.455,,,,,137.381
20,132.844,132.844,,,,,136.238
20,133.491,133.491,,,,,136.393
20,133.442,133.442,,,,,136.509
