Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds)
1,357.557,17.878
1,365.163,18.258
1,362,18.1
2,199.209,19.921
2,197.466,19.747
2,196.548,19.655
3,144.48,21.672
3,147.034,22.055
3,146.165,21.925
4,128.225,25.645
4,129.93,25.986
4,132.46,26.492
5,134.507,33.627
5,131.532,32.883
5,135.829,33.957
6,144.23,43.269
6,143.52,43.056
6,148.513,44.554
7,134.213,46.975
7,132.753,46.464
7,136.512,47.779
8,139.724,55.89
8,136.672,54.669
8,139.933,55.973
9,149.276,67.174
9,147.292,66.281
9,145.606,65.523
10,136.558,68.279
10,137.674,68.837
10,138.847,69.424
11,138.697,76.283
11,138.151,75.983
11,137.364,75.55
12,138.921,83.353
12,138.127,82.876
12,138.031,82.819
13,138.392,89.955
13,140.279,91.181
13,138.87,90.266
14,138.553,96.987
14,140.445,98.311
14,139.427,97.599
15,139.515,104.636
15,140.031,105.023
15,136.68,102.51
16,141.844,113.475
16,144.575,115.66
16,136.622,109.298
17,143.943,122.352
17,142.611,121.219
17,138.007,117.306
18,147.963,133.167
18,149.569,134.612
18,144.61,130.149
19,136.68,129.846
19,138.285,131.371
19,130.728,124.192
20,139.957,139.957
20,138.728,138.728
20,138.478,138.478
