Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds)
10, 17.933, 8.966
10, 17.871, 8.935
10, 17.800, 8.900
11, 17.772, 9.775
11, 17.692, 9.731
11, 17.767, 9.772
12, 18.173, 10.904
12, 17.866, 10.720
12, 17.501, 10.501
13, 18.253, 11.864
13, 17.550, 11.408
13, 18.816, 12.230
14, 17.562, 12.293
14, 17.874, 12.512
14, 18.828, 13.180
15, 18.155, 13.616
15, 18.605, 13.954
15, 18.014, 13.510
16, 18.354, 14.683
16, 18.891, 15.113
16, 19.090, 15.272
17, 19.414, 16.502
17, 19.457, 16.538
17, 19.189, 16.311
18, 19.288, 17.359
18, 18.839, 16.955
18, 19.566, 17.609
19, 16.944, 16.097
19, 17.103, 16.248
19, 17.058, 16.205
1, 64.003, 3.200
1, 63.723, 3.186
1, 68.594, 3.430
20, 17.064, 17.064
20, 17.042, 17.042
20, 17.086, 17.086
2, 35.516, 3.552
2, 36.369, 3.637
2, 36.021, 3.602
3, 25.920, 3.888
3, 25.592, 3.839
3, 27.486, 4.123
4, 20.961, 4.192
4, 21.114, 4.223
4, 21.667, 4.333
5, 20.665, 5.166
5, 19.720, 4.930
5, 20.757, 5.189
6, 19.255, 5.777
6, 19.629, 5.889
6, 19.066, 5.720
7, 18.501, 6.475
7, 19.476, 6.817
7, 19.457, 6.810
8, 18.901, 7.560
8, 19.386, 7.754
8, 19.198, 7.679
9, 18.726, 8.427
9, 19.510, 8.780
9, 19.444, 8.750
