Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds)
1,58.878,2.944
1,58.634,2.932
1,59.727,2.986
2,204.163,20.416
2,194.446,19.445
2,198.431,19.843
3,194.46,29.169
3,193.757,29.064
3,190.008,28.501
4,194.955,38.991
4,193.366,38.673
4,193.388,38.678
5,149.171,37.293
5,151.105,37.776
5,149.676,37.419
6,130.818,39.245
6,131.299,39.39
6,130.973,39.292
7,136.968,47.939
7,136.026,47.609
7,135.006,47.252
8,142.89,57.156
8,143.29,57.316
8,144.349,57.74
9,130.014,58.506
9,129.825,58.421
9,129.991,58.496
10,134.135,67.067
10,133.786,66.893
10,134.014,67.007
11,133.949,73.672
11,133.851,73.618
11,134.167,73.792
12,135.207,81.124
12,135.333,81.2
12,135.425,81.255
13,135.469,88.055
13,136.062,88.44
13,135.248,87.911
14,136.381,95.467
14,137.292,96.104
14,136.536,95.575
15,149.663,112.247
15,148.804,111.603
15,147.893,110.92
16,146.793,117.434
16,148.052,118.442
16,147.902,118.322
17,146.347,124.395
17,140.68,119.578
17,143.31,121.814
18,132.532,119.279
18,132.614,119.353
18,132.141,118.927
19,137.076,130.222
19,136.729,129.893
19,137.381,130.512
20,136.238,136.238
20,136.393,136.393
20,136.509,136.509
