Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds)
1,52.524,2.626
1,54.241,2.712
1,53.383,2.669
2,36.575,3.658
2,36.348,3.635
2,38.7,3.87
3,33.209,4.981
3,33.411,5.012
3,34.44,5.166
4,30.281,6.056
4,30.87,6.174
4,30.825,6.165
5,29.608,7.402
5,30.463,7.616
5,30.558,7.639
6,29.748,8.924
6,31.092,9.328
6,30.542,9.163
7,29.531,10.336
7,30.5,10.675
7,30.25,10.588
8,31.521,12.608
8,30.622,12.249
8,30.196,12.078
9,32.922,14.815
9,31.213,14.046
9,31.007,13.953
10,31.709,15.854
10,30.163,15.082
10,29.845,14.922
11,32.166,17.691
11,30.168,16.592
11,30.22,16.621
12,31.981,19.189
12,30.286,18.172
12,30.411,18.247
13,31.207,20.285
13,30.274,19.678
13,30.504,19.828
14,31.545,22.081
14,30.987,21.691
14,30.525,21.367
15,31.744,23.808
15,31.42,23.565
15,31.335,23.501
16,32.749,26.199
16,31.708,25.366
16,32.279,25.823
17,32.422,27.559
17,32.802,27.882
17,32.465,27.595
18,33.332,29.999
18,33.451,30.106
18,33.554,30.199
19,32.658,31.025
19,33.09,31.436
19,32.713,31.077
20,32.73,32.73
20,33.196,33.196
20,33.916,33.916
