Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds),,,,,,
1,124.153,6.208,,,,,119.094,5.955
1,112.041,5.602,,,,,122.293,6.115
1,109.465,5.473,,,,,120.591,6.03
2,66.442,6.644,,,,,66.718,6.672
2,67.384,6.738,,,,,66.979,6.698
2,66.661,6.666,,,,,66.814,6.681
3,53.044,7.957,,,,,50.765,7.615
3,53,7.95,,,,,49.926,7.489
3,52.804,7.921,,,,,49.774,7.466
4,51.989,10.398,,,,,38.988,7.798
4,44.261,8.852,,,,,39.263,7.853
4,44.306,8.861,,,,,39.495,7.899
5,50.844,12.711,,,,,41.872,10.468
5,43.382,10.845,,,,,41.394,10.348
5,43.528,10.882,,,,,38.875,9.719
6,46.463,13.939,,,,,41.977,12.593
6,45.995,13.798,,,,,41.872,12.562
6,45.709,13.713,,,,,41.514,12.454
7,44.951,15.733,,,,,38.752,13.563
7,43.492,15.222,,,,,38.631,13.521
7,46.065,16.123,,,,,38.809,13.583
8,45.159,18.064,,,,,39.666,15.866
8,44.449,17.78,,,,,39.76,15.904
8,44.616,17.846,,,,,39.632,15.853
9,46.542,20.944,,,,,42.211,18.995
9,47.03,21.163,,,,,42.146,18.966
9,47.011,21.155,,,,,41.983,18.892
10,44.455,22.227,,,,,38.771,19.386
10,43.596,21.798,,,,,38.81,19.405
10,43.537,21.768,,,,,39.104,19.552
11,44.307,24.369,,,,,38.557,21.206
11,43.512,23.932,,,,,38.704,21.287
11,43.645,24.005,,,,,38.844,21.364
12,47.293,28.376,,,,,38.761,23.257
12,43.702,26.221,,,,,38.913,23.348
12,43.901,26.341,,,,,39.177,23.506
13,45.057,29.287,,,,,38.813,25.228
13,43.831,28.49,,,,,38.936,25.308
13,43.746,28.435,,,,,39.093,25.41
14,44.185,30.93,,,,,38.851,27.196
14,44.002,30.801,,,,,38.973,27.281
14,43.646,30.552,,,,,39.195,27.437
15,48.727,36.545,,,,,38.837,29.128
15,43.765,32.824,,,,,38.99,29.242
15,43.845,32.884,,,,,38.694,29.021
16,45.182,36.146,,,,,40.003,32.002
16,45.069,36.055,,,,,40.093,32.074
16,44.847,35.878,,,,,40.133,32.106
17,46.582,39.595,,,,,41.585,35.347
17,46.346,39.394,,,,,41.643,35.397
17,46.146,39.224,,,,,41.655,35.407
18,47.665,42.898,,,,,43.355,39.02
18,47.518,42.766,,,,,43.293,38.964
18,47.556,42.8,,,,,43.198,38.878
19,44.876,42.632,,,,,39.478,37.504
19,44.754,42.516,,,,,39.712,37.726
19,44.655,42.422,,,,,39.849,37.857
20,44.563,44.563,,,,,39.552,39.552
20,45.695,45.695,,,,,39.501,39.501
20,44.727,44.727,,,,,39.672,39.672
