Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds)
10, 21.152, 10.576
10, 21.328, 10.664
10, 21.263, 10.632
11, 21.945, 12.070
11, 20.430, 11.236
11, 22.077, 12.142
12, 22.470, 13.482
12, 20.115, 12.069
12, 19.907, 11.944
13, 23.329, 15.164
13, 20.834, 13.542
13, 22.191, 14.424
14, 20.734, 14.514
14, 20.977, 14.684
14, 24.877, 17.414
15, 21.781, 16.336
15, 22.360, 16.770
15, 22.683, 17.012
16, 21.461, 17.169
16, 21.006, 16.805
16, 22.714, 18.171
17, 21.914, 18.627
17, 18.412, 15.650
17, 19.287, 16.394
18, 20.533, 18.480
18, 19.375, 17.438
18, 19.405, 17.465
19, 21.641, 20.559
19, 19.258, 18.295
19, 19.598, 18.618
1, 126.773, 6.339
1, 122.647, 6.132
1, 130.586, 6.529
20, 20.190, 20.190
20, 19.205, 19.205
20, 18.459, 18.459
2, 68.082, 6.808
2, 66.149, 6.615
2, 66.957, 6.696
3, 48.834, 7.325
3, 46.007, 6.901
3, 47.363, 7.104
4, 38.759, 7.752
4, 38.737, 7.747
4, 38.562, 7.712
5, 35.606, 8.902
5, 33.592, 8.398
5, 32.455, 8.114
6, 31.745, 9.524
6, 31.831, 9.549
6, 33.301, 9.990
7, 25.937, 9.078
7, 26.774, 9.371
7, 25.763, 9.017
8, 26.519, 10.608
8, 25.996, 10.398
8, 24.838, 9.935
9, 25.067, 11.280
9, 21.890, 9.851
9, 27.215, 12.247
