Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds),,,,,
1,173.405,8.67,,,,133.508,6.675
1,202.303,10.115,,,,133.351,6.668
1,200.763,10.038,,,,134.52,6.726
2,395.104,39.51,,,,382.998,38.3
2,392.751,39.275,,,,361.322,36.132
2,394.475,39.448,,,,370.842,37.084
3,347.308,52.096,,,,327.73,49.16
3,344.182,51.627,,,,330.295,49.544
3,343.967,51.595,,,,327.793,49.169
4,339.589,67.918,,,,337.145,67.429
4,341.445,68.289,,,,336.145,67.229
4,340.891,68.178,,,,340.203,68.041
5,274.998,68.749,,,,249.949,62.487
5,276.846,69.212,,,,250.613,62.653
5,278.347,69.587,,,,251.36,62.84
6,253.064,75.919,,,,216.662,64.999
6,251.239,75.372,,,,216.718,65.015
6,249.871,74.961,,,,219.076,65.723
7,254.336,89.018,,,,219.991,76.997
7,251.995,88.198,,,,221.594,77.558
7,259.153,90.704,,,,220.45,77.157
8,268.405,107.362,,,,238.565,95.426
8,266.963,106.785,,,,236.814,94.726
8,264.859,105.944,,,,236.352,94.541
9,247.524,111.386,,,,214.052,96.323
9,247.328,111.298,,,,213.459,96.057
9,246.699,111.015,,,,214.194,96.387
10,251.29,125.645,,,,219.821,109.91
10,251.489,125.744,,,,218.346,109.173
10,251.215,125.608,,,,219.771,109.886
11,252.005,138.603,,,,219.66,120.813
11,250.811,137.946,,,,220.374,121.206
11,252.519,138.885,,,,220.072,121.04
12,250.842,150.505,,,,220.321,132.193
12,250.732,150.439,,,,221.485,132.891
12,250.034,150.02,,,,220.99,132.594
13,253.399,164.709,,,,222.154,144.4
13,251.899,163.734,,,,222.724,144.771
13,250.585,162.88,,,,222.406,144.564
14,255.628,178.94,,,,224.301,157.011
14,254.047,177.833,,,,224.573,157.201
14,251.87,176.309,,,,223.925,156.748
15,272.213,204.16,,,,247.243,185.432
15,270.663,202.997,,,,247.393,185.545
15,267.163,200.372,,,,247.712,185.784
16,268.685,214.948,,,,242.54,194.032
16,268.639,214.911,,,,241.491,193.193
16,264.406,211.525,,,,243.85,195.08
17,266.738,226.727,,,,238.996,203.147
17,269.705,229.249,,,,241.704,205.448
17,267.52,227.392,,,,242.391,206.032
18,248.487,223.638,,,,220.424,198.382
18,250.083,225.075,,,,219.913,197.922
18,247.626,222.863,,,,220.439,198.395
19,251.528,238.952,,,,225.296,214.031
19,251.723,239.137,,,,225.104,213.849
19,250.196,237.686,,,,224.709,213.474
20,251.218,251.218,,,,225.392,225.392
20,250.333,250.333,,,,225.278,225.278
20,250.832,250.832,,,,225.472,225.472
