Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds)
10, 25.325, 12.662
10, 24.167, 12.084
10, 21.451, 10.726
11, 21.447, 11.796
11, 20.799, 11.439
11, 22.552, 12.404
12, 22.842, 13.705
12, 24.972, 14.983
12, 20.590, 12.354
13, 20.296, 13.192
13, 20.564, 13.367
13, 20.785, 13.510
14, 20.788, 14.552
14, 20.140, 14.098
14, 20.179, 14.125
15, 20.485, 15.364
15, 19.857, 14.893
15, 20.391, 15.293
16, 20.602, 16.482
16, 21.494, 17.195
16, 20.779, 16.623
17, 18.135, 15.415
17, 19.161, 16.287
17, 20.068, 17.058
18, 19.738, 17.764
18, 19.383, 17.445
18, 19.644, 17.680
19, 19.251, 18.288
19, 20.596, 19.566
19, 20.683, 19.649
1, 122.098, 6.105
1, 120.156, 6.008
1, 127.290, 6.365
20, 19.441, 19.441
20, 19.557, 19.557
20, 20.463, 20.463
2, 70.214, 7.021
2, 66.538, 6.654
2, 64.239, 6.424
3, 49.522, 7.428
3, 50.459, 7.569
3, 49.377, 7.407
4, 38.391, 7.678
4, 38.607, 7.721
4, 39.472, 7.894
5, 32.735, 8.184
5, 31.209, 7.802
5, 36.936, 9.234
6, 34.664, 10.399
6, 30.476, 9.143
6, 30.540, 9.162
7, 30.318, 10.611
7, 25.626, 8.969
7, 26.714, 9.350
8, 25.594, 10.238
8, 25.301, 10.120
8, 24.211, 9.684
9, 23.865, 10.739
9, 23.115, 10.402
9, 23.801, 10.710
