Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds),,,,
1,120.814,6.041,,,,101.906
1,121.877,6.094,,,,107.093
1,119.72,5.986,,,,106.104
2,73.896,7.39,,,,77.543
2,73.944,7.394,,,,83.836
2,69.888,6.989,,,,81.35
3,62.744,9.412,,,,80.935
3,61.958,9.294,,,,77.792
3,61.671,9.251,,,,86.379
4,53.721,10.744,,,,83.214
4,53.647,10.729,,,,87.423
4,52.447,10.489,,,,87.079
5,52.064,13.016,,,,81.286
5,50.593,12.648,,,,85.694
5,51.307,12.827,,,,85.584
6,53.493,16.048,,,,82.736
6,51.603,15.481,,,,80.669
6,54.45,16.335,,,,82.795
7,52.11,18.238,,,,81.326
7,51.612,18.064,,,,85.164
7,51.26,17.941,,,,82.805
8,53.524,21.41,,,,84.252
8,53.474,21.39,,,,85.127
8,53.262,21.305,,,,85.337
9,56.734,25.53,,,,86.185
9,53.614,24.126,,,,85.559
9,54.328,24.448,,,,85.049
10,52.836,26.418,,,,86.111
10,52.291,26.145,,,,84.354
10,52.197,26.099,,,,84.115
11,52.687,28.978,,,,85.547
11,52.117,28.664,,,,84.712
11,52.176,28.697,,,,84.842
12,52.907,31.744,,,,85.151
12,52.273,31.364,,,,85.18
12,52.349,31.409,,,,84.483
13,52.776,34.304,,,,85.62
13,52.332,34.016,,,,84.581
13,52.527,34.143,,,,84.829
14,53.554,37.488,,,,85.833
14,52.538,36.777,,,,84.733
14,52.462,36.723,,,,85.041
15,53.301,39.976,,,,86.132
15,52.813,39.61,,,,85.154
15,52.523,39.392,,,,85.11
16,54.556,43.645,,,,86.893
16,53.698,42.958,,,,85.668
16,53.26,42.608,,,,85.265
17,55.812,47.44,,,,87.332
17,54.515,46.338,,,,85.923
17,54.475,46.304,,,,85.634
18,57.319,51.587,,,,88.727
18,56.506,50.855,,,,87.889
18,56.897,51.207,,,,87.951
19,54.841,52.099,,,,87.972
19,54.458,51.735,,,,87.65
19,55.168,52.41,,,,86.944
20,55.328,55.328,,,,90.089
20,55.25,55.25,,,,90.688
20,55.291,55.291,,,,89.91
