Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds),,,,,,,,,,Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds),,,,,,,,
1,365.862,18.293,,,,,,,,,,1,355.423,17.771,,,,,,,,
1,368.001,18.4,,,,,,,,,,1,354.979,17.749,,,,,,,,
1,369.506,18.475,,,Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds),Total_Time(seconds),,,,1,355.447,17.772,,,,,Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds),Total_Time(seconds)
2,201.501,20.15,,,1,367.7896667,18.38933333,367.7896667,,,,2,195.722,19.572,,,,,1,355.283,17.764,355.283
2,202.726,20.273,,,2,202.007,18.38933333,202.007,,,,2,196.662,19.666,,,,,2,196.7633333,19.67633333,196.7633333
2,201.794,20.179,,,3,136.568,22.194,136.568,,,,2,197.906,19.791,,,,,3,144.2763333,21.64133333,144.2763333
3,147.161,22.074,,,4,114.007,22.80166667,114.007,,,,3,144.001,21.6,,,,,4,113.1916667,22.63833333,113.1916667
3,148.183,22.227,,,5,110.922,27.73066667,110.922,,,,3,144.321,21.648,,,,,5,114.3546667,28.58866667,114.3546667
3,148.538,22.281,,,6,0,0,0,,,,3,144.507,21.676,,,,,6,0,0,0
4,112.983,22.597,,,7,0,0,0,,,,4,112.119,22.424,,,,,7,0,0,0
4,114.643,22.929,,,8,0,0,0,,,,4,113.439,22.688,,,,,8,0,0,0
4,114.395,22.879,,,9,0,0,0,,,,4,114.017,22.803,,,,,9,0,0,0
5,109.799,27.45,,,10,110.7503333,55.37533333,110.7503333,,,,5,112.018,28.005,,,,,10,117.3176667,58.659,117.3176667
5,112.12,28.03,,,11,0,0,0,,,,5,115.037,28.759,,,,,11,0,0,0
5,110.847,27.712,,,12,0,0,0,,,,5,116.009,29.002,,,,,12,0,0,0
6,121.815,36.544,,,13,0,0,0,,,,6,124.094,37.228,,,,,13,0,0,0
6,120.835,36.251,,,14,0,0,0,,,,6,126.47,37.941,,,,,14,0,0,0
6,122.78,36.834,,,15,110.4416667,82.83133333,110.4416667,,,,6,127.157,38.147,,,,,15,120.1346667,90.10066667,120.1346667
7,110.915,38.82,,,16,0,0,0,,,,7,115.475,40.416,,,,,16,0,0,0
7,110.597,38.709,,,17,0,0,0,,,,7,116.945,40.931,,,,,17,0,0,0
7,110.792,38.777,,,18,0,0,0,,,,7,116.716,40.851,,,,,18,0,0,0
8,114.024,45.61,,,19,0,0,0,,,,8,119.663,47.865,,,,,19,0,0,0
8,114.634,45.854,,,20,110.1373333,110.1373333,110.1373333,,,,8,121.066,48.426,,,,,20,118.848,118.848,118.848
8,114.291,45.716,,,,,,,,,,8,120.983,48.393,,,,,,,,
9,122.933,55.32,,,,,,,,,,9,128.05,57.623,,,,,,,,
9,122.735,55.231,,,,,,,,,,9,130.717,58.823,,,,,,,,
9,123.524,55.586,,,,,,,,,,9,130.699,58.815,,,,,,,,
10,109.929,54.965,,,,,,,,,,10,116.292,58.146,,,,,,,,
10,111.67,55.835,,,,,Jetson Nano`,Raspberry Pi,,,,10,116.891,58.446,,,,,,,,
10,110.652,55.326,,,,,18.38933333,17.764,,,,10,118.77,59.385,,,,,,,,
11,110.777,60.927,,,,,18.38933333,19.67633333,,,,11,119.015,65.458,,,,,,,,
11,110.811,60.946,,,,,22.194,21.64133333,,,,11,117.756,64.766,,,,,,,,
11,111.282,61.205,,,,,22.80166667,22.63833333,,,,11,121.23,66.677,,,,,,,,
12,110.539,66.323,,,,,27.73066667,28.58866667,,,,12,118.476,71.086,,,,,,,,
12,111.052,66.631,,,,,0,0,,,,12,120.264,72.158,,,,,,,,
12,110.289,66.173,,,,,0,0,,,,12,121.775,73.065,,,,,,,,
13,111.589,72.533,,,,,0,0,,,,13,119.285,77.535,,,,,,,,
13,110.123,71.58,,,,,0,0,,,,13,120.037,78.024,,,,,,,,
13,111.183,72.269,,,,,55.37533333,58.659,,,,13,122.538,79.65,,,,,,,,
14,110.059,77.041,,,,,0,0,,,,14,117.779,82.445,,,,,,,,
14,110.502,77.351,,,,,0,0,,,,14,120.456,84.319,,,,,,,,
14,110.88,77.616,,,,,0,0,,,,14,121.096,84.767,,,,,,,,
15,110.257,82.693,,,,,0,0,,,,15,117.862,88.396,,,,,,,,
15,110.878,83.159,,,,,82.83133333,90.10066667,,,,15,120.654,90.49,,,,,,,,
15,110.19,82.642,,,,,0,0,,,,15,121.888,91.416,,,,,,,,
16,113.702,90.962,,,,,0,0,,,,16,120.697,96.558,,,,,,,,
16,114.119,91.295,,,,,0,0,,,,16,122.533,98.026,,,,,,,,
16,114.407,91.526,,,,,0,0,,,,16,123.399,98.719,,,,,,,,
17,118.869,101.039,,,,,110.1373333,118.848,,,,17,124.57,105.885,,,,,,,,
17,120.175,102.149,,,,,,,,,,17,125.568,106.733,,,,,,,,
17,118.541,100.76,,,,,,,,,,17,125.353,106.55,,,,,,,,
