AppName,Nano,,AppName,Nano,Rpi
dd-cmd,5455.8,,dd-cmd,5455.8,6943.425
fast-fourier-transform,6651.2875,,fast-fourier-transform,6651.2875,7412.421053
floating-point-operation-cosine,5491.8125,,floating-point-operation-cosine,5491.8125,7374.95
floating-point-operation-sine,5729.5125,,floating-point-operation-sine,5729.5125,7840.394737
floating-point-operation-sqrt,5895.7,,floating-point-operation-sqrt,5895.7,8039.675
image-classification-alexnet-cpu,34418.25,,image-classification-alexnet-cpu,34418.25,24234.5
image-classification-alexnet-gpu,38502.3625,,image-classification-with-cpu,8264.9125,8421.1
image-classification-with-cpu,8264.9125,,image-processing-pillow,6952.6375,7751.8125
image-classification-with-cuda,12997.8375,,iperf3,6385.5625,6446.35
image-processing-pillow,6952.6375,,matrix-multiplication-high,5964.2625,6323.0375
iperf3,6385.5625,,matrix-multiplication-low,5809.1125,6658.825
matrix-multiplication-high,5964.2625,,matrix-multiplication-medium,6223.425,6456.5
matrix-multiplication-low,5809.1125,,object-classification-yolo-no-gpu,3073.2875,3866.775
matrix-multiplication-medium,6223.425,,sentiment-analysis,9620.25,9739.925
object-classification-yolo-gpu,9356.9625,,sorter,5640.45,7870.1
object-classification-yolo-no-gpu,3073.2875,,speech-to-text,6133.6125,7344.75
sentiment-analysis,9620.25,,,,
sorter,5640.45,,,,
speech-to-text,6133.6125,,,,
