"AppName","Rpi"
"dd-cmd","6943.424999999996"
"fast-fourier-transform","7412.421052631578"
"floating-point-operation-cosine","7374.950000000001"
"floating-point-operation-sine","7840.394736842103"
"floating-point-operation-sqrt","8039.675"
"image-classification-alexnet-cpu","24234.5"
"image-classification-with-cpu","8421.1"
"image-processing-pillow","7751.8125"
"iperf3","6446.35"
"matrix-multiplication-high","6323.037499999999"
"matrix-multiplication-low","6658.824999999999"
"matrix-multiplication-medium","6456.5"
"object-classification-yolo-no-gpu","3866.7750000000005"
"sentiment-analysis","9739.925"
"sorter","7870.1"
"speech-to-text","7344.749999999999"
