 1001e854993c, image-classification-batch-alexnet-gpu.1.9lat6hsvldtjdgtps8te0jnak,59.03,1223.31,3.87
 1001e854993c, image-classification-batch-alexnet-gpu.1.9lat6hsvldtjdgtps8te0jnak,57.04,1223.47,3.87
 1001e854993c, image-classification-batch-alexnet-gpu.1.9lat6hsvldtjdgtps8te0jnak,59.32,1364.16,3.87
 1001e854993c, image-classification-batch-alexnet-gpu.1.9lat6hsvldtjdgtps8te0jnak,60.02,1329.91,3.87
 1001e854993c, image-classification-batch-alexnet-gpu.1.9lat6hsvldtjdgtps8te0jnak,62.16,1343.75,3.87
 1001e854993c, image-classification-batch-alexnet-gpu.1.9lat6hsvldtjdgtps8te0jnak,62,1337.16,3.87
 1001e854993c, image-classification-batch-alexnet-gpu.1.9lat6hsvldtjdgtps8te0jnak,61.29,1339.42,3.87
 1001e854993c, image-classification-batch-alexnet-gpu.1.9lat6hsvldtjdgtps8te0jnak,58.28,1207.6,3.87
 1001e854993c, image-classification-batch-alexnet-gpu.1.9lat6hsvldtjdgtps8te0jnak,60.07,1377.3,3.87
 1001e854993c, image-classification-batch-alexnet-gpu.1.9lat6hsvldtjdgtps8te0jnak,60.7,1309.43,3.87
 1001e854993c, image-classification-batch-alexnet-gpu.1.9lat6hsvldtjdgtps8te0jnak,60.59,1319.57,3.87
 1001e854993c, image-classification-batch-alexnet-gpu.1.9lat6hsvldtjdgtps8te0jnak,59.41,1308.81,3.87
 1001e854993c, image-classification-batch-alexnet-gpu.1.9lat6hsvldtjdgtps8te0jnak,59.47,1334.45,3.87
 1001e854993c, image-classification-batch-alexnet-gpu.1.9lat6hsvldtjdgtps8te0jnak,60.46,1344.98,3.87
 1001e854993c, image-classification-batch-alexnet-gpu.1.9lat6hsvldtjdgtps8te0jnak,60.39,1349.66,3.87
,,60.01533333,1314.198667,
