Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds)
10, 316.530, 316.530
10, 338.554, 338.554
10, 339.976, 339.976
1, 318.213, 31.821
1, 521.863, 52.186
1, 420.810, 42.081
2, 277.317, 55.463
2, 493.174, 98.635
2, 449.048, 89.810
3, 274.692, 82.408
3, 428.024, 128.407
3, 444.807, 133.442
4, 303.986, 121.594
4, 422.010, 168.804
4, 401.068, 160.427
5, 330.912, 165.456
5, 394.693, 197.346
5, 430.175, 215.088
6, 329.977, 197.986
6, 466.034, 279.620
6, 373.941, 224.365
7, 326.398, 228.479
7, 424.785, 297.350
7, 409.342, 286.539
8, 332.519, 266.015
8, 404.508, 323.606
8, 393.802, 315.042
9, 316.046, 284.441
9, 339.051, 305.146
9, 339.447, 305.502
