Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds)
10, 21.352, 21.352
10, 21.448, 21.448
10, 21.496, 21.496
1, 104.485, 10.448
1, 104.576, 10.458
1, 105.828, 10.583
2, 20.935, 4.187
2, 20.943, 4.189
2, 20.986, 4.197
3, 20.956, 6.287
3, 20.945, 6.284
3, 22.056, 6.617
4, 21.022, 8.409
4, 21.099, 8.440
4, 21.012, 8.405
5, 21.059, 10.530
5, 21.047, 10.524
5, 21.026, 10.513
6, 21.077, 12.646
6, 21.118, 12.671
6, 21.146, 12.688
7, 21.085, 14.759
7, 21.210, 14.847
7, 21.285, 14.899
8, 21.399, 17.119
8, 21.430, 17.144
8, 21.238, 16.990
9, 21.101, 18.991
9, 21.252, 19.127
9, 21.396, 19.256
