[2J[HOK,8,3,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 0.04%, 11.34MiB / 3.871GiB, 0.29%, 207MB / 148MB, 0B / 0B
OK,8,3,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.137MiB / 50MiB, 8.27%, 246kB / 415kB, 0B / 0B
OK,8,3,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.00%, 10.6MiB / 50MiB, 21.20%, 5.71kB / 2.6kB, 2.87MB / 0B
OK,8,3,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 29.4MiB / 500MiB, 5.88%, 3.29MB / 578kB, 27.8MB / 0B
OK,8,3,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.00%, 5.926MiB / 125MiB, 4.74%, 824kB / 471kB, 160kB / 0B
OK,8,3,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.35kB / 0B, 4.1kB / 0B
OK,8,3,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 17.19%, 12.47MiB / 3.871GiB, 0.31%, 144MB / 206MB, 4.66MB / 0B
[2J[HOK,8,3,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 0.04%, 11.34MiB / 3.871GiB, 0.29%, 207MB / 148MB, 0B / 0B
OK,8,3,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.137MiB / 50MiB, 8.27%, 246kB / 415kB, 0B / 0B
OK,8,3,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.00%, 10.6MiB / 50MiB, 21.20%, 5.71kB / 2.6kB, 2.87MB / 0B
OK,8,3,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 29.4MiB / 500MiB, 5.88%, 3.29MB / 578kB, 27.8MB / 0B
