[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 0.00%, 16.55MiB / 3.871GiB, 0.42%, 2.91kB / 182B, 58.5MB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 2.406MiB / 3.871GiB, 0.06%, 2.76kB / 0B, 520kB / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 0.00%, 16.55MiB / 3.871GiB, 0.42%, 2.91kB / 182B, 58.5MB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 2.406MiB / 3.871GiB, 0.06%, 2.76kB / 0B, 520kB / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 129.54%, 41.07MiB / 3.871GiB, 1.04%, 2.95kB / 182B, 116MB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 2.406MiB / 3.871GiB, 0.06%, 2.87kB / 0B, 520kB / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 129.54%, 41.07MiB / 3.871GiB, 1.04%, 2.95kB / 182B, 116MB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 2.406MiB / 3.871GiB, 0.06%, 2.87kB / 0B, 520kB / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 72.05%, 58.02MiB / 3.871GiB, 1.46%, 3.03kB / 182B, 137MB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 4.35%, 2.457MiB / 3.871GiB, 0.06%, 2.95kB / 0B, 520kB / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 72.05%, 58.02MiB / 3.871GiB, 1.46%, 3.03kB / 182B, 137MB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 4.35%, 2.457MiB / 3.871GiB, 0.06%, 2.95kB / 0B, 520kB / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 62.37%, 71.76MiB / 3.871GiB, 1.81%, 3.37kB / 1.09kB, 150MB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 2.457MiB / 3.871GiB, 0.06%, 3kB / 0B, 520kB / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 62.37%, 71.76MiB / 3.871GiB, 1.81%, 3.37kB / 1.09kB, 150MB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 2.457MiB / 3.871GiB, 0.06%, 3kB / 0B, 520kB / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 11.00%, 71.86MiB / 3.871GiB, 1.81%, 842kB / 15.2kB, 150MB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 2.457MiB / 3.871GiB, 0.06%, 3kB / 0B, 520kB / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 11.00%, 71.86MiB / 3.871GiB, 1.81%, 842kB / 15.2kB, 150MB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 2.457MiB / 3.871GiB, 0.06%, 3kB / 0B, 520kB / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 64.81%, 75.07MiB / 3.871GiB, 1.89%, 6.42MB / 174kB, 151MB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 4.06%, 2.477MiB / 3.871GiB, 0.06%, 3.04kB / 0B, 520kB / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 64.81%, 75.07MiB / 3.871GiB, 1.89%, 6.42MB / 174kB, 151MB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 4.06%, 2.477MiB / 3.871GiB, 0.06%, 3.04kB / 0B, 520kB / 0B
[2J[HOK,5,1,faea609b8cd3, image-classification-with-cuda.1.n9rlym0qi4nomegxnlklmh5pd, 65.88%, 87.05MiB / 3.871GiB, 2.20%, 11.7MB / 274kB, 158MB / 0B
OK,5,1,6fe51b64ce42, image-classification-with-cuda.1.0wq2rt9scgxy4lvbv4g2rkmzn, 0.00%, 2.477MiB / 3.871GiB, 0.06%, 3.04kB / 0B, 520kB / 0B
