[2J[HOK,10,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 6.48%, 11.18MiB / 3.871GiB, 0.28%, 127MB / 91.6MB, 0B / 0B
OK,10,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.125MiB / 50MiB, 8.25%, 146kB / 242kB, 0B / 0B
OK,10,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.00%, 10.45MiB / 50MiB, 20.90%, 5.71kB / 2.6kB, 2.74MB / 0B
OK,10,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 29.23MiB / 500MiB, 5.85%, 1.92MB / 340kB, 27.8MB / 0B
OK,10,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.00%, 5.875MiB / 125MiB, 4.70%, 483kB / 275kB, 160kB / 0B
OK,10,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,10,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 0.10%, 12.47MiB / 3.871GiB, 0.31%, 89.3MB / 126MB, 4.66MB / 0B
[2J[HOK,10,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 6.48%, 11.18MiB / 3.871GiB, 0.28%, 127MB / 91.6MB, 0B / 0B
OK,10,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.125MiB / 50MiB, 8.25%, 146kB / 242kB, 0B / 0B
OK,10,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.00%, 10.45MiB / 50MiB, 20.90%, 5.71kB / 2.6kB, 2.74MB / 0B
OK,10,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 29.23MiB / 500MiB, 5.85%, 1.92MB / 340kB, 27.8MB / 0B
OK,10,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.00%, 5.875MiB / 125MiB, 4.70%, 483kB / 275kB, 160kB / 0B
OK,10,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,10,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 0.10%, 12.47MiB / 3.871GiB, 0.31%, 89.3MB / 126MB, 4.66MB / 0B
[2J[HOK,10,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 9.72%, 11.18MiB / 3.871GiB, 0.28%, 127MB / 91.6MB, 0B / 0B
OK,10,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.06%, 4.125MiB / 50MiB, 8.25%, 147kB / 243kB, 0B / 0B
OK,10,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.22%, 10.45MiB / 50MiB, 20.90%, 5.71kB / 2.6kB, 2.74MB / 0B
OK,10,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 29.23MiB / 500MiB, 5.85%, 1.92MB / 340kB, 27.8MB / 0B
