[2J[HOK,4,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 0.01%, 10.12MiB / 3.871GiB, 0.26%, 69.4MB / 49.5MB, 0B / 0B
OK,4,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2.078MiB / 50MiB, 4.16%, 92.4kB / 151kB, 0B / 0B
OK,4,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.00%, 10.06MiB / 50MiB, 20.12%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,4,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 25.56MiB / 500MiB, 5.11%, 1.19MB / 212kB, 27.8MB / 0B
OK,4,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.00%, 5.871MiB / 125MiB, 4.70%, 302kB / 171kB, 160kB / 0B
OK,4,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,4,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 18.03%, 11.04MiB / 3.871GiB, 0.28%, 48.1MB / 69MB, 4.66MB / 0B
[2J[HOK,4,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 0.01%, 10.12MiB / 3.871GiB, 0.26%, 69.4MB / 49.5MB, 0B / 0B
OK,4,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2.078MiB / 50MiB, 4.16%, 92.4kB / 151kB, 0B / 0B
OK,4,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.00%, 10.06MiB / 50MiB, 20.12%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,4,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 25.56MiB / 500MiB, 5.11%, 1.19MB / 212kB, 27.8MB / 0B
