[2J[HOK,2,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 0.01%, 10.05MiB / 3.871GiB, 0.25%, 49.2MB / 35.3MB, 0B / 0B
OK,2,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2.043MiB / 50MiB, 4.09%, 64.4kB / 104kB, 0B / 0B
OK,2,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.00%, 10.02MiB / 50MiB, 20.05%, 5.58kB / 2.6kB, 2.74MB / 0B
OK,2,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 25.46MiB / 500MiB, 5.09%, 813kB / 145kB, 27.8MB / 0B
OK,2,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.00%, 5.863MiB / 125MiB, 4.69%, 208kB / 118kB, 160kB / 0B
OK,2,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.21kB / 0B, 4.1kB / 0B
OK,2,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 15.68%, 11.04MiB / 3.871GiB, 0.28%, 34.4MB / 49MB, 4.66MB / 0B
[2J[HOK,2,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 0.01%, 10.05MiB / 3.871GiB, 0.25%, 49.2MB / 35.3MB, 0B / 0B
OK,2,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2.043MiB / 50MiB, 4.09%, 64.4kB / 104kB, 0B / 0B
OK,2,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.00%, 10.02MiB / 50MiB, 20.05%, 5.58kB / 2.6kB, 2.74MB / 0B
OK,2,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 25.46MiB / 500MiB, 5.09%, 813kB / 145kB, 27.8MB / 0B
OK,2,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.00%, 5.863MiB / 125MiB, 4.69%, 208kB / 118kB, 160kB / 0B
OK,2,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.21kB / 0B, 4.1kB / 0B
OK,2,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 15.68%, 11.04MiB / 3.871GiB, 0.28%, 34.4MB / 49MB, 4.66MB / 0B
[2J[HOK,2,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 9.16%, 10.05MiB / 3.871GiB, 0.25%, 49.2MB / 35.3MB, 0B / 0B
OK,2,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2.043MiB / 50MiB, 4.09%, 64.4kB / 104kB, 0B / 0B
OK,2,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.18%, 10.02MiB / 50MiB, 20.05%, 5.58kB / 2.6kB, 2.74MB / 0B
OK,2,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.43%, 25.46MiB / 500MiB, 5.09%, 813kB / 145kB, 27.8MB / 0B
OK,2,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.38%, 5.863MiB / 125MiB, 4.69%, 208kB / 118kB, 160kB / 0B
OK,2,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.21kB / 0B, 4.1kB / 0B
OK,2,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 22.40%, 11.04MiB / 3.871GiB, 0.28%, 34.4MB / 49MB, 4.66MB / 0B
