[2J[HOK,8,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 0.02%, 11MiB / 3.871GiB, 0.28%, 108MB / 77.6MB, 0B / 0B
OK,8,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.125MiB / 50MiB, 8.25%, 130kB / 216kB, 0B / 0B
OK,8,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.24%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,8,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 27.16MiB / 500MiB, 5.43%, 1.71MB / 302kB, 27.8MB / 0B
OK,8,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.00%, 5.875MiB / 125MiB, 4.70%, 429kB / 244kB, 160kB / 0B
OK,8,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,8,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 15.27%, 12.46MiB / 3.871GiB, 0.31%, 75.6MB / 108MB, 4.66MB / 0B
[2J[HOK,8,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 0.02%, 11MiB / 3.871GiB, 0.28%, 108MB / 77.6MB, 0B / 0B
OK,8,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.125MiB / 50MiB, 8.25%, 130kB / 216kB, 0B / 0B
OK,8,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.24%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,8,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 27.16MiB / 500MiB, 5.43%, 1.71MB / 302kB, 27.8MB / 0B
OK,8,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.00%, 5.875MiB / 125MiB, 4.70%, 429kB / 244kB, 160kB / 0B
OK,8,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,8,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 15.27%, 12.46MiB / 3.871GiB, 0.31%, 75.6MB / 108MB, 4.66MB / 0B
[2J[HOK,8,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 9.30%, 11MiB / 3.871GiB, 0.28%, 108MB / 77.7MB, 0B / 0B
OK,8,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 4.125MiB / 50MiB, 8.25%, 130kB / 216kB, 0B / 0B
OK,8,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.28%, 10.45MiB / 50MiB, 20.90%, 5.64kB / 2.6kB, 2.74MB / 0B
OK,8,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 27.16MiB / 500MiB, 5.43%, 1.71MB / 302kB, 27.8MB / 0B
OK,8,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.38%, 5.875MiB / 125MiB, 4.70%, 429kB / 244kB, 160kB / 0B
OK,8,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.28kB / 0B, 4.1kB / 0B
OK,8,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 20.81%, 12.46MiB / 3.871GiB, 0.31%, 75.6MB / 108MB, 4.66MB / 0B
