[2J[HOK,1,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 0.01%, 10MiB / 3.871GiB, 0.25%, 37.9MB / 27.9MB, 0B / 0B
OK,1,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2.02MiB / 50MiB, 4.04%, 35.7kB / 54.9kB, 0B / 0B
OK,1,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.00%, 10.02MiB / 50MiB, 20.05%, 5.5kB / 2.6kB, 2.74MB / 0B
OK,1,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 25.37MiB / 500MiB, 5.07%, 428kB / 77.5kB, 27.8MB / 0B
OK,1,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.00%, 5.836MiB / 125MiB, 4.67%, 111kB / 63.3kB, 160kB / 0B
OK,1,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.14kB / 0B, 4.1kB / 0B
OK,1,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 16.33%, 11MiB / 3.871GiB, 0.28%, 27.4MB / 37.8MB, 4.66MB / 0B
[2J[HOK,1,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 0.01%, 10MiB / 3.871GiB, 0.25%, 37.9MB / 27.9MB, 0B / 0B
OK,1,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.00%, 2.02MiB / 50MiB, 4.04%, 35.7kB / 54.9kB, 0B / 0B
OK,1,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.00%, 10.02MiB / 50MiB, 20.05%, 5.5kB / 2.6kB, 2.74MB / 0B
OK,1,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 25.37MiB / 500MiB, 5.07%, 428kB / 77.5kB, 27.8MB / 0B
OK,1,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.00%, 5.836MiB / 125MiB, 4.67%, 111kB / 63.3kB, 160kB / 0B
OK,1,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.14kB / 0B, 4.1kB / 0B
OK,1,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 16.33%, 11MiB / 3.871GiB, 0.28%, 27.4MB / 37.8MB, 4.66MB / 0B
[2J[HOK,1,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 9.79%, 10MiB / 3.871GiB, 0.25%, 38MB / 27.9MB, 0B / 0B
OK,1,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.20%, 2.02MiB / 50MiB, 4.04%, 35.8kB / 55.1kB, 0B / 0B
OK,1,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.25%, 10.02MiB / 50MiB, 20.05%, 5.5kB / 2.6kB, 2.74MB / 0B
OK,1,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 25.37MiB / 500MiB, 5.07%, 428kB / 77.5kB, 27.8MB / 0B
OK,1,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.37%, 5.836MiB / 125MiB, 4.67%, 112kB / 63.4kB, 160kB / 0B
OK,1,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.14kB / 0B, 4.1kB / 0B
OK,1,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 20.64%, 11MiB / 3.871GiB, 0.28%, 27.4MB / 37.8MB, 4.66MB / 0B
[2J[HOK,1,2,376464c5558c, func_gateway.1.j872jo06nh6lpkd8si46j8li2, 9.79%, 10MiB / 3.871GiB, 0.25%, 38MB / 27.9MB, 0B / 0B
OK,1,2,fc6ffd3137a5, func_queue-worker.1.au1fkvm1zcv09mb724vc5q82k, 0.20%, 2.02MiB / 50MiB, 4.04%, 35.8kB / 55.1kB, 0B / 0B
OK,1,2,ed92a5fe26ff, func_alertmanager.1.xy1zfnj6kzi8b965fa6vsygcd, 0.25%, 10.02MiB / 50MiB, 20.05%, 5.5kB / 2.6kB, 2.74MB / 0B
OK,1,2,06a427e54850, func_prometheus.1.pt419bncytleosdxcvfg6gji4, 0.00%, 25.37MiB / 500MiB, 5.07%, 428kB / 77.5kB, 27.8MB / 0B
OK,1,2,82957e2eed7c, func_nats.1.gy7r66qdnvhnxlvaapq3quac8, 0.37%, 5.836MiB / 125MiB, 4.67%, 112kB / 63.4kB, 160kB / 0B
OK,1,2,837b00644d7e, func_basic-auth-plugin.1.wmb4h2jv8b1l6ludvffzatrjb, 0.00%, 1.352MiB / 3.871GiB, 0.03%, 3.14kB / 0B, 4.1kB / 0B
OK,1,2,9b932c9db8b8, func_faas-swarm.1.thea6rgei7urk53p272jp8w3q, 20.64%, 11MiB / 3.871GiB, 0.28%, 27.4MB / 37.8MB, 4.66MB / 0B
