Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds)
1,101.906,5.095
1,107.093,5.355
1,106.104,5.305
2,77.543,7.754
2,83.836,8.384
2,81.35,8.135
3,80.935,12.14
3,77.792,11.669
3,86.379,12.957
4,83.214,16.643
4,87.423,17.485
4,87.079,17.416
5,81.286,20.322
5,85.694,21.424
5,85.584,21.396
6,82.736,24.821
6,80.669,24.201
6,82.795,24.838
7,81.326,28.464
7,85.164,29.807
7,82.805,28.982
8,84.252,33.701
8,85.127,34.051
8,85.337,34.135
9,86.185,38.783
9,85.559,38.502
9,85.049,38.272
10,86.111,43.056
10,84.354,42.177
10,84.115,42.057
11,85.547,47.051
11,84.712,46.592
11,84.842,46.663
12,85.151,51.091
12,85.18,51.108
12,84.483,50.69
13,85.62,55.653
13,84.581,54.978
13,84.829,55.139
14,85.833,60.083
14,84.733,59.313
14,85.041,59.529
15,86.132,64.599
15,85.154,63.865
15,85.11,63.833
16,86.893,69.514
16,85.668,68.534
16,85.265,68.212
17,87.332,74.232
17,85.923,73.035
17,85.634,72.789
18,88.727,79.854
18,87.889,79.1
18,87.951,79.156
19,87.972,83.573
19,87.65,83.268
19,86.944,82.597
20,90.089,90.089
20,90.688,90.688
20,89.91,89.91
