Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds),,,,,Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds),,,,,,,,,,,
1,417.131,20.857,,,,,1,357.557,17.878,,,,,,,,,,,
1,414.509,20.725,,Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds),1,365.163,18.258,,,,,,,,,,,
1,413.488,20.674,,1,415.0426667,20.752,1,362,18.1,,,Raspberry Pi,,,,,,Jetson Nano,,
2,227.587,22.759,,2,227.8423333,22.78433333,2,199.209,19.921,,,,,,,,,,,
2,228.6,22.86,,3,165.1146667,24.767,2,197.466,19.747,,Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds),Total_Time(seconds),,,Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds),Total_Time(seconds)
2,227.34,22.734,,4,127.6496667,25.53,2,196.548,19.655,,1,361.5733333,18.07866667,361.5733333,,,1,415.0426667,20.752,415.0426667
3,165.626,24.844,,5,122.2433333,30.56066667,3,144.48,21.672,,2,197.741,19.77433333,197.741,,,2,227.8423333,22.78433333,227.8423333
3,165.823,24.873,,6,136.3826667,40.915,3,147.034,22.055,,3,145.893,21.884,145.893,,,3,165.1146667,24.767,165.1146667
3,163.895,24.584,,7,124.627,43.61966667,3,146.165,21.925,,4,130.205,26.041,130.205,,,4,127.6496667,25.53,127.6496667
4,126.718,25.344,,8,126,50.609,4,128.225,25.645,,5,133.956,33.489,133.956,,,5,122.2433333,30.56066667,122.2433333
4,128.51,25.702,,9,135.7536667,61.08933333,4,129.93,25.986,,6,145.421,43.62633333,145.421,,,6,136.3826667,40.915,136.3826667
4,127.721,25.544,,10,122.595,61.29766667,4,132.46,26.492,,7,134.4926667,47.07266667,134.4926667,,,7,124.627,43.61966667,124.627
5,123.053,30.763,,11,123.1503333,67.73266667,5,134.507,33.627,,8,138.7763333,55.51066667,138.7763333,,,8,126,50.609,126
5,121.805,30.451,,12,122.5486667,73.52933333,5,131.532,32.883,,9,147.3913333,66.326,147.3913333,,,9,135.7536667,61.08933333,135.7536667
5,121.872,30.468,,13,124.1576667,82.358,5,135.829,33.957,,10,137.693,68.84666667,137.693,,,10,122.595,61.29766667,122.595
6,137.369,41.211,,14,122.5943333,85.81566667,6,144.23,43.269,,11,138.0706667,75.93866667,138.0706667,,,11,123.1503333,67.73266667,123.1503333
6,136.5,40.95,,15,122.4156667,91.812,6,143.52,43.056,,12,138.3596667,83.016,138.3596667,,,12,122.5486667,73.52933333,122.5486667
6,135.279,40.584,,16,127.3566667,101.8853333,6,148.513,44.554,,13,139.1803333,90.46733333,139.1803333,,,13,124.1576667,82.358,124.1576667
7,124.765,43.668,,17,130.9456667,111.3036667,7,134.213,46.975,,14,139.475,97.63233333,139.475,,,14,122.5943333,85.81566667,122.5943333
7,125.794,44.028,,18,136.55,122.895,7,132.753,46.464,,15,138.742,104.0563333,138.742,,,15,122.4156667,91.812,122.4156667
7,123.322,43.163,,19,123.922,117.726,7,136.512,47.779,,16,141.0136667,112.811,141.0136667,,,16,127.3566667,101.8853333,127.3566667
8,126.681,50.672,,20,122.8366667,122.8366667,8,139.724,55.89,,17,141.5203333,120.2923333,141.5203333,,,17,130.9456667,111.3036667,130.9456667
8,125.281,50.112,,,,,8,136.672,54.669,,18,147.3806667,132.6426667,147.3806667,,,18,136.55,122.895,136.55
8,127.608,51.043,,,,,8,139.933,55.973,,19,135.231,128.4696667,135.231,,,19,123.922,117.726,123.922
9,135.151,60.818,,,,,9,149.276,67.174,,20,139.0543333,139.0543333,139.0543333,,,20,122.8366667,122.8366667,122.8366667
9,134.402,60.481,,,,,9,147.292,66.281,,,,,,,,,,,
9,137.708,61.969,,,,,9,145.606,65.523,,,,,,,,,,,
10,123.647,61.824,,,,,10,136.558,68.279,,,,,,,,,,,
10,121.748,60.874,,,,,10,137.674,68.837,,,,,,,,,,,
10,122.39,61.195,,,,,10,138.847,69.424,,,,,,,,,,,
11,121.697,66.933,,,,,11,138.697,76.283,,,,,,,,,,,
11,124.378,68.408,,,,,11,138.151,75.983,,,,,,,,,,,
11,123.376,67.857,,,,,11,137.364,75.55,,,,,,,,,,,
12,122.18,73.308,,,,,12,138.921,83.353,,,,,,,,,,,
12,122.751,73.651,,,,,12,138.127,82.876,,,,,,,,,,,
12,122.715,73.629,,,,,12,138.031,82.819,,,,,,,,,,,
13,123.82,80.483,,12,73.52933333,,13,138.392,89.955,,12,138.3596667,,,,,,,,
13,123.879,80.521,,13,82.358,,13,140.279,91.181,,13,139.1803333,,,,,,,,
13,124.774,81.103,,14,85.81566667,,13,138.87,90.266,,14,139.475,,,,,,,,
14,122.072,85.45,,15,91.812,,14,138.553,96.987,,15,138.742,,,,,,,,
14,122.082,85.457,,16,101.8853333,,14,140.445,98.311,,16,141.0136667,,,,,,,,
14,123.629,86.54,,17,111.3036667,,14,139.427,97.599,,17,141.5203333,,,,,,,,
15,122.338,91.754,,18,122.895,,15,139.515,104.636,,18,147.3806667,,,,,,,,
15,121.911,91.433,,19,117.726,,15,140.031,105.023,,19,135.231,,,,,,,,
15,122.998,92.249,,20,122.8366667,,15,136.68,102.51,,20,139.0543333,,,,,,,,
16,127.274,101.819,,,,,16,141.844,113.475,,,,,,,,,,,
16,127.479,101.983,,,,,16,144.575,115.66,,,,,,,,,,,
16,127.317,101.854,,,,,16,136.622,109.298,,,,,,,,,,,
17,130.514,110.937,,,,,17,143.943,122.352,,,,,,,,,,,
17,132.258,112.419,,,,,17,142.611,121.219,,,,,,,,,,,
17,130.065,110.555,,,,,17,138.007,117.306,,,,,,,,,,,
18,136.998,123.298,,,,,18,147.963,133.167,,,,,,,,,,,
18,136.741,123.067,,,,,18,149.569,134.612,,,,,,,,,,,
18,135.911,122.32,,,,,18,144.61,130.149,,,,,,,,,,,
19,124.387,118.168,,,,,19,136.68,129.846,,,,,,,,,,,
19,123.948,117.751,,,,,19,138.285,131.371,,,,,,,,,,,
19,123.431,117.259,,,,,19,130.728,124.192,,,,,,,,,,,
20,123.033,123.033,,,,,20,139.957,139.957,,,,,,,,,,,
20,123.175,123.175,,,,,20,138.728,138.728,,,,,,,,,,,
20,122.302,122.302,,,,,20,138.478,138.478,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Jetson Nano,Raspberry Pi,,,,,,,,,,,,,,,,,,,
20.752,18.07866667,,,,,,,,,,,,,,,,,,,
22.78433333,19.77433333,,,,,,,,,,,,,,,,,,,
24.767,21.884,,,,,,,,,,,,,,,,,,,
25.53,26.041,,,,,,,,,,,,,,,,,,,
30.56066667,33.489,,,,,,,,,,,,,,,,,,,
40.915,43.62633333,,,,,,,,,,,,,,,,,,,
43.61966667,47.07266667,,,,,,,,,,,,,,,,,,,
50.609,55.51066667,,,,,,,,,,,,,,,,,,,
61.08933333,66.326,,,,,,,,,,,,,,,,,,,
61.29766667,68.84666667,,,,,,,,,,,,,,,,,,,
67.73266667,75.93866667,,,,,,,,,,,,,,,,,,,
73.52933333,83.016,,,,,,,,,,,,,,,,,,,
82.358,90.46733333,,,,,,,,,,,,,,,,,,,
85.81566667,97.63233333,,,,,,,,,,,,,,,,,,,
91.812,104.0563333,,,,,,,,,,,,,,,,,,,
101.8853333,112.811,,,,,,,,,,,,,,,,,,,
111.3036667,120.2923333,,,,,,,,,,,,,,,,,,,
122.895,132.6426667,,,,,,,,,,,,,,,,,,,
117.726,128.4696667,,,,,,,,,,,,,,,,,,,
122.8366667,139.0543333,,,,,,,,,,,,,,,,,,,
