[2J[HOK,3,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.762MiB / 50MiB, 5.52%, 53kB / 90kB, 1.29MB / 0B
OK,3,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 0.06%, 5.668MiB / 3.703GiB, 0.15%, 38.5MB / 28.6MB, 1.71MB / 0B
OK,3,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 0.14%, 6.789MiB / 3.703GiB, 0.18%, 27.8MB / 38.2MB, 2.74MB / 0B
OK,3,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.00%, 5.539MiB / 125MiB, 4.43%, 184kB / 108kB, 5.39MB / 0B
OK,3,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.00%, 8.559MiB / 50MiB, 17.12%, 6.75kB / 2.65kB, 7.64MB / 0B
OK,3,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.66kB / 0B, 848kB / 0B
OK,3,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 25.61MiB / 500MiB, 5.12%, 708kB / 129kB, 19.2MB / 0B
[2J[HOK,3,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.762MiB / 50MiB, 5.52%, 53kB / 90kB, 1.29MB / 0B
OK,3,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 0.06%, 5.668MiB / 3.703GiB, 0.15%, 38.5MB / 28.6MB, 1.71MB / 0B
OK,3,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 0.14%, 6.789MiB / 3.703GiB, 0.18%, 27.8MB / 38.2MB, 2.74MB / 0B
OK,3,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.00%, 5.539MiB / 125MiB, 4.43%, 184kB / 108kB, 5.39MB / 0B
OK,3,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.00%, 8.559MiB / 50MiB, 17.12%, 6.75kB / 2.65kB, 7.64MB / 0B
OK,3,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.66kB / 0B, 848kB / 0B
OK,3,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 25.61MiB / 500MiB, 5.12%, 708kB / 129kB, 19.2MB / 0B
[2J[HOK,3,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.762MiB / 50MiB, 5.52%, 53kB / 90kB, 1.29MB / 0B
OK,3,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 9.72%, 5.668MiB / 3.703GiB, 0.15%, 38.5MB / 28.7MB, 1.71MB / 0B
OK,3,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.67%, 6.793MiB / 3.703GiB, 0.18%, 27.8MB / 38.2MB, 2.74MB / 0B
OK,3,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.56%, 5.539MiB / 125MiB, 4.43%, 185kB / 108kB, 5.39MB / 0B
OK,3,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 2.21%, 8.559MiB / 50MiB, 17.12%, 6.75kB / 2.65kB, 7.64MB / 0B
OK,3,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.66kB / 0B, 848kB / 0B
OK,3,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 2.43%, 25.61MiB / 500MiB, 5.12%, 708kB / 129kB, 19.2MB / 0B
[2J[HOK,3,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.762MiB / 50MiB, 5.52%, 53kB / 90kB, 1.29MB / 0B
OK,3,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 9.72%, 5.668MiB / 3.703GiB, 0.15%, 38.5MB / 28.7MB, 1.71MB / 0B
OK,3,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.67%, 6.793MiB / 3.703GiB, 0.18%, 27.8MB / 38.2MB, 2.74MB / 0B
OK,3,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.56%, 5.539MiB / 125MiB, 4.43%, 185kB / 108kB, 5.39MB / 0B
OK,3,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 2.21%, 8.559MiB / 50MiB, 17.12%, 6.75kB / 2.65kB, 7.64MB / 0B
OK,3,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.66kB / 0B, 848kB / 0B
OK,3,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 2.43%, 25.61MiB / 500MiB, 5.12%, 708kB / 129kB, 19.2MB / 0B
[2J[HOK,3,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.762MiB / 50MiB, 5.52%, 53kB / 90kB, 1.29MB / 0B
