[2J[HOK,10,2,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.609MiB / 50MiB, 5.22%, 8.27kB / 11.9kB, 1.29MB / 0B
OK,10,2,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 0.01%, 6.391MiB / 3.703GiB, 0.17%, 9.18MB / 6.98MB, 1.63MB / 0B
OK,10,2,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.00%, 6.758MiB / 3.703GiB, 0.18%, 6.88MB / 9.13MB, 2.74MB / 0B
OK,10,2,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.00%, 5.488MiB / 125MiB, 4.39%, 27.7kB / 14.3kB, 5.31MB / 0B
OK,10,2,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.00%, 9.977MiB / 50MiB, 19.95%, 5.8kB / 1.97kB, 7.64MB / 0B
OK,10,2,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.45kB / 0B, 848kB / 0B
OK,10,2,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 23.41MiB / 500MiB, 4.68%, 85.3kB / 17.3kB, 19.1MB / 0B
[2J[HOK,10,2,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.609MiB / 50MiB, 5.22%, 8.27kB / 11.9kB, 1.29MB / 0B
OK,10,2,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 0.01%, 6.391MiB / 3.703GiB, 0.17%, 9.18MB / 6.98MB, 1.63MB / 0B
OK,10,2,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.00%, 6.758MiB / 3.703GiB, 0.18%, 6.88MB / 9.13MB, 2.74MB / 0B
OK,10,2,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.00%, 5.488MiB / 125MiB, 4.39%, 27.7kB / 14.3kB, 5.31MB / 0B
