[2J[HOK,10,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.824MiB / 50MiB, 5.65%, 113kB / 195kB, 1.29MB / 0B
OK,10,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 0.16%, 5.977MiB / 3.703GiB, 0.16%, 104MB / 78MB, 1.71MB / 0B
OK,10,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 17.45%, 6.383MiB / 3.703GiB, 0.17%, 76.1MB / 103MB, 2.74MB / 0B
OK,10,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.00%, 5.574MiB / 125MiB, 4.46%, 394kB / 238kB, 5.39MB / 0B
OK,10,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.00%, 8.629MiB / 50MiB, 17.26%, 6.82kB / 2.65kB, 7.64MB / 0B
OK,10,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.73kB / 0B, 848kB / 0B
OK,10,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.01%, 24.98MiB / 500MiB, 5.00%, 1.54MB / 278kB, 19.3MB / 0B
[2J[HOK,10,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.824MiB / 50MiB, 5.65%, 113kB / 195kB, 1.29MB / 0B
OK,10,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 0.16%, 5.977MiB / 3.703GiB, 0.16%, 104MB / 78MB, 1.71MB / 0B
OK,10,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 17.45%, 6.383MiB / 3.703GiB, 0.17%, 76.1MB / 103MB, 2.74MB / 0B
OK,10,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.00%, 5.574MiB / 125MiB, 4.46%, 394kB / 238kB, 5.39MB / 0B
OK,10,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.00%, 8.629MiB / 50MiB, 17.26%, 6.82kB / 2.65kB, 7.64MB / 0B
OK,10,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.73kB / 0B, 848kB / 0B
OK,10,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.01%, 24.98MiB / 500MiB, 5.00%, 1.54MB / 278kB, 19.3MB / 0B
[2J[HOK,10,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.824MiB / 50MiB, 5.65%, 113kB / 195kB, 1.29MB / 0B
OK,10,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 9.37%, 5.977MiB / 3.703GiB, 0.16%, 104MB / 78MB, 1.71MB / 0B
OK,10,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.17%, 6.383MiB / 3.703GiB, 0.17%, 76.1MB / 103MB, 2.74MB / 0B
OK,10,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.24%, 5.574MiB / 125MiB, 4.46%, 394kB / 238kB, 5.39MB / 0B
OK,10,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.18%, 8.629MiB / 50MiB, 17.26%, 6.82kB / 2.65kB, 7.64MB / 0B
OK,10,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.73kB / 0B, 848kB / 0B
OK,10,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 1.36%, 24.98MiB / 500MiB, 5.00%, 1.54MB / 278kB, 19.3MB / 0B
[2J[HOK,10,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.824MiB / 50MiB, 5.65%, 113kB / 195kB, 1.29MB / 0B
OK,10,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 9.37%, 5.977MiB / 3.703GiB, 0.16%, 104MB / 78MB, 1.71MB / 0B
OK,10,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.17%, 6.383MiB / 3.703GiB, 0.17%, 76.1MB / 103MB, 2.74MB / 0B
OK,10,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.24%, 5.574MiB / 125MiB, 4.46%, 394kB / 238kB, 5.39MB / 0B
OK,10,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.18%, 8.629MiB / 50MiB, 17.26%, 6.82kB / 2.65kB, 7.64MB / 0B
OK,10,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.73kB / 0B, 848kB / 0B
