[2J[HOK,1,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.695MiB / 50MiB, 5.39%, 15.6kB / 22.6kB, 1.29MB / 0B
OK,1,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 0.02%, 6.117MiB / 3.703GiB, 0.16%, 18.3MB / 14MB, 1.71MB / 0B
OK,1,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 19.28%, 6.695MiB / 3.703GiB, 0.18%, 13.7MB / 18.2MB, 2.74MB / 0B
OK,1,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.00%, 5.32MiB / 125MiB, 4.26%, 49.2kB / 27.6kB, 5.39MB / 0B
OK,1,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.00%, 9.977MiB / 50MiB, 19.95%, 6.61kB / 2.65kB, 7.64MB / 0B
OK,1,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.52kB / 0B, 848kB / 0B
OK,1,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 24.77MiB / 500MiB, 4.95%, 170kB / 33.1kB, 19.2MB / 0B
[2J[HOK,1,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.695MiB / 50MiB, 5.39%, 15.6kB / 22.6kB, 1.29MB / 0B
OK,1,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 0.02%, 6.117MiB / 3.703GiB, 0.16%, 18.3MB / 14MB, 1.71MB / 0B
OK,1,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 19.28%, 6.695MiB / 3.703GiB, 0.18%, 13.7MB / 18.2MB, 2.74MB / 0B
OK,1,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.00%, 5.32MiB / 125MiB, 4.26%, 49.2kB / 27.6kB, 5.39MB / 0B
OK,1,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.00%, 9.977MiB / 50MiB, 19.95%, 6.61kB / 2.65kB, 7.64MB / 0B
OK,1,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.52kB / 0B, 848kB / 0B
OK,1,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.00%, 24.77MiB / 500MiB, 4.95%, 170kB / 33.1kB, 19.2MB / 0B
[2J[HOK,1,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.695MiB / 50MiB, 5.39%, 15.6kB / 22.6kB, 1.29MB / 0B
OK,1,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 9.64%, 6.117MiB / 3.703GiB, 0.16%, 18.3MB / 14MB, 1.71MB / 0B
OK,1,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 16.51%, 6.695MiB / 3.703GiB, 0.18%, 13.7MB / 18.3MB, 2.74MB / 0B
OK,1,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.24%, 5.32MiB / 125MiB, 4.26%, 49.2kB / 27.6kB, 5.39MB / 0B
OK,1,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.22%, 9.977MiB / 50MiB, 19.95%, 6.61kB / 2.65kB, 7.64MB / 0B
OK,1,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.52kB / 0B, 848kB / 0B
OK,1,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.02%, 24.77MiB / 500MiB, 4.95%, 170kB / 33.1kB, 19.2MB / 0B
[2J[HOK,1,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.695MiB / 50MiB, 5.39%, 15.6kB / 22.6kB, 1.29MB / 0B
OK,1,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 9.64%, 6.117MiB / 3.703GiB, 0.16%, 18.3MB / 14MB, 1.71MB / 0B
OK,1,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 16.51%, 6.695MiB / 3.703GiB, 0.18%, 13.7MB / 18.3MB, 2.74MB / 0B
OK,1,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.24%, 5.32MiB / 125MiB, 4.26%, 49.2kB / 27.6kB, 5.39MB / 0B
OK,1,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.22%, 9.977MiB / 50MiB, 19.95%, 6.61kB / 2.65kB, 7.64MB / 0B
OK,1,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.52kB / 0B, 848kB / 0B
OK,1,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 0.02%, 24.77MiB / 500MiB, 4.95%, 170kB / 33.1kB, 19.2MB / 0B
[2J[HOK,1,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.695MiB / 50MiB, 5.39%, 15.6kB / 22.6kB, 1.29MB / 0B
OK,1,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 9.59%, 6.117MiB / 3.703GiB, 0.16%, 18.4MB / 14MB, 1.71MB / 0B
OK,1,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.89%, 6.699MiB / 3.703GiB, 0.18%, 13.8MB / 18.3MB, 2.74MB / 0B
OK,1,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.38%, 5.32MiB / 125MiB, 4.26%, 49.5kB / 27.7kB, 5.39MB / 0B
OK,1,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.17%, 9.977MiB / 50MiB, 19.95%, 6.61kB / 2.65kB, 7.64MB / 0B
OK,1,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.52kB / 0B, 848kB / 0B
OK,1,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 2.38%, 24.78MiB / 500MiB, 4.96%, 170kB / 33.1kB, 19.2MB / 0B
[2J[HOK,1,3,9c87ea21296b, func_queue-worker.1.hvdnx5rtgcyqj2nrxhw857jao, 0.00%, 2.695MiB / 50MiB, 5.39%, 15.6kB / 22.6kB, 1.29MB / 0B
OK,1,3,50541a89567f, func_gateway.1.d129l9hxi3bsb9dsli9ykzyhg, 9.59%, 6.117MiB / 3.703GiB, 0.16%, 18.4MB / 14MB, 1.71MB / 0B
OK,1,3,7fcff148a834, func_faas-swarm.1.xfgxu5xqqykf4y893z5x5iplu, 18.89%, 6.699MiB / 3.703GiB, 0.18%, 13.8MB / 18.3MB, 2.74MB / 0B
OK,1,3,406cb63af145, func_nats.1.wm4dcu2rehutcgyblfidbczew, 0.38%, 5.32MiB / 125MiB, 4.26%, 49.5kB / 27.7kB, 5.39MB / 0B
OK,1,3,eadffb10f255, func_alertmanager.1.bknjujqtlxw2ksyb8aq1szk68, 0.17%, 9.977MiB / 50MiB, 19.95%, 6.61kB / 2.65kB, 7.64MB / 0B
OK,1,3,3bc91a119ebf, func_basic-auth-plugin.1.z8sqikzidxpsxob20vtd7hzwq, 0.00%, 1.844MiB / 3.703GiB, 0.05%, 1.52kB / 0B, 848kB / 0B
OK,1,3,77b85ce593e2, func_prometheus.1.p5bim0h7eurec9tpbxv1r54rk, 2.38%, 24.78MiB / 500MiB, 4.96%, 170kB / 33.1kB, 19.2MB / 0B
