Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds)
10, 271.182, 271.182
10, 341.516, 341.516
10, 353.310, 353.310
1, 308.143, 30.814
1, 268.749, 26.875
1, 431.621, 43.162
2, 292.544, 58.509
2, 261.956, 52.391
2, 555.785, 111.157
3, 284.843, 85.453
3, 258.975, 77.693
3, 543.470, 163.041
4, 301.257, 120.503
4, 319.163, 127.665
4, 463.964, 185.586
5, 293.962, 146.981
5, 346.500, 173.250
5, 382.285, 191.143
6, 291.927, 175.156
6, 372.499, 223.499
6, 381.581, 228.949
7, 311.195, 217.836
7, 352.549, 246.784
7, 381.909, 267.336
8, 312.976, 250.381
8, 346.575, 277.260
8, 381.049, 304.839
9, 277.964, 250.168
9, 342.146, 307.931
9, 341.975, 307.778
