[2J[HOK,10,2,11069cb3a8a9, func_queue-worker.1.tj129aiqwiz6d1b0mcvm8jstf, 0.00%, 3.141MiB / 50MiB, 6.28%, 2.83kB / 1.42kB, 0B / 0B
OK,10,2,e43b0d0f6446, func_alertmanager.1.bj8l5scneb5vojy5a3ylm32o9, 0.00%, 9.332MiB / 50MiB, 18.66%, 2.95kB / 630B, 4.57MB / 0B
OK,10,2,8883699116b6, func_prometheus.1.xtf4kl6y5binong6at3ipla9j, 0.04%, 17.33MiB / 500MiB, 3.47%, 3.44kB / 623B, 27.7MB / 0B
OK,10,2,604deabc917b, func_gateway.1.i6ropav5ril9scchhhi9axpdr, 0.00%, 4.344MiB / 3.871GiB, 0.11%, 32.7kB / 14.6kB, 582kB / 0B
OK,10,2,cd9a2a6184d8, func_nats.1.autl5vvyy22csefo17ziptvqc, 0.00%, 3.676MiB / 125MiB, 2.94%, 5.18kB / 2.57kB, 1.22MB / 0B
OK,10,2,ffada384d61a, func_faas-swarm.1.nssrquk7czomi4x3qa5hie7rq, 0.00%, 7.078MiB / 3.871GiB, 0.18%, 15.6kB / 28.5kB, 770kB / 0B
OK,10,2,ba54cde571cb, func_basic-auth-plugin.1.zmckz1l6ga5ovu66j3n752iog, 0.00%, 2.883MiB / 3.871GiB, 0.07%, 2.72kB / 0B, 1.61MB / 0B
[2J[HOK,10,2,11069cb3a8a9, func_queue-worker.1.tj129aiqwiz6d1b0mcvm8jstf, 0.00%, 3.141MiB / 50MiB, 6.28%, 2.83kB / 1.42kB, 0B / 0B
OK,10,2,e43b0d0f6446, func_alertmanager.1.bj8l5scneb5vojy5a3ylm32o9, 0.00%, 9.332MiB / 50MiB, 18.66%, 2.95kB / 630B, 4.57MB / 0B
OK,10,2,8883699116b6, func_prometheus.1.xtf4kl6y5binong6at3ipla9j, 0.04%, 17.33MiB / 500MiB, 3.47%, 3.44kB / 623B, 27.7MB / 0B
OK,10,2,604deabc917b, func_gateway.1.i6ropav5ril9scchhhi9axpdr, 0.00%, 4.344MiB / 3.871GiB, 0.11%, 32.7kB / 14.6kB, 582kB / 0B
OK,10,2,cd9a2a6184d8, func_nats.1.autl5vvyy22csefo17ziptvqc, 0.00%, 3.676MiB / 125MiB, 2.94%, 5.18kB / 2.57kB, 1.22MB / 0B
OK,10,2,ffada384d61a, func_faas-swarm.1.nssrquk7czomi4x3qa5hie7rq, 0.00%, 7.078MiB / 3.871GiB, 0.18%, 15.6kB / 28.5kB, 770kB / 0B
OK,10,2,ba54cde571cb, func_basic-auth-plugin.1.zmckz1l6ga5ovu66j3n752iog, 0.00%, 2.883MiB / 3.871GiB, 0.07%, 2.72kB / 0B, 1.61MB / 0B
[2J[HOK,10,2,11069cb3a8a9, func_queue-worker.1.tj129aiqwiz6d1b0mcvm8jstf, 0.00%, 3.141MiB / 50MiB, 6.28%, 3.03kB / 1.42kB, 0B / 0B
OK,10,2,e43b0d0f6446, func_alertmanager.1.bj8l5scneb5vojy5a3ylm32o9, 0.28%, 9.332MiB / 50MiB, 18.66%, 2.99kB / 672B, 4.57MB / 0B
OK,10,2,8883699116b6, func_prometheus.1.xtf4kl6y5binong6at3ipla9j, 2.31%, 17.4MiB / 500MiB, 3.48%, 3.48kB / 665B, 27.7MB / 0B
OK,10,2,604deabc917b, func_gateway.1.i6ropav5ril9scchhhi9axpdr, 8.13%, 4.449MiB / 3.871GiB, 0.11%, 56kB / 24.4kB, 582kB / 0B
OK,10,2,cd9a2a6184d8, func_nats.1.autl5vvyy22csefo17ziptvqc, 0.35%, 3.684MiB / 125MiB, 2.95%, 5.41kB / 2.68kB, 1.22MB / 0B
OK,10,2,ffada384d61a, func_faas-swarm.1.nssrquk7czomi4x3qa5hie7rq, 21.78%, 7.117MiB / 3.871GiB, 0.18%, 24.7kB / 51.5kB, 770kB / 0B
OK,10,2,ba54cde571cb, func_basic-auth-plugin.1.zmckz1l6ga5ovu66j3n752iog, 0.00%, 2.883MiB / 3.871GiB, 0.07%, 2.72kB / 0B, 1.61MB / 0B
[2J[HOK,10,2,11069cb3a8a9, func_queue-worker.1.tj129aiqwiz6d1b0mcvm8jstf, 0.00%, 3.141MiB / 50MiB, 6.28%, 3.03kB / 1.42kB, 0B / 0B
OK,10,2,e43b0d0f6446, func_alertmanager.1.bj8l5scneb5vojy5a3ylm32o9, 0.28%, 9.332MiB / 50MiB, 18.66%, 2.99kB / 672B, 4.57MB / 0B
OK,10,2,8883699116b6, func_prometheus.1.xtf4kl6y5binong6at3ipla9j, 2.31%, 17.4MiB / 500MiB, 3.48%, 3.48kB / 665B, 27.7MB / 0B
OK,10,2,604deabc917b, func_gateway.1.i6ropav5ril9scchhhi9axpdr, 8.13%, 4.449MiB / 3.871GiB, 0.11%, 56kB / 24.4kB, 582kB / 0B
OK,10,2,cd9a2a6184d8, func_nats.1.autl5vvyy22csefo17ziptvqc, 0.35%, 3.684MiB / 125MiB, 2.95%, 5.41kB / 2.68kB, 1.22MB / 0B
OK,10,2,ffada384d61a, func_faas-swarm.1.nssrquk7czomi4x3qa5hie7rq, 21.78%, 7.117MiB / 3.871GiB, 0.18%, 24.7kB / 51.5kB, 770kB / 0B
OK,10,2,ba54cde571cb, func_basic-auth-plugin.1.zmckz1l6ga5ovu66j3n752iog, 0.00%, 2.883MiB / 3.871GiB, 0.07%, 2.72kB / 0B, 1.61MB / 0B
[2J[HOK,10,2,11069cb3a8a9, func_queue-worker.1.tj129aiqwiz6d1b0mcvm8jstf, 0.07%, 3.141MiB / 50MiB, 6.28%, 3.24kB / 1.69kB, 0B / 0B
OK,10,2,e43b0d0f6446, func_alertmanager.1.bj8l5scneb5vojy5a3ylm32o9, 0.28%, 9.332MiB / 50MiB, 18.66%, 2.99kB / 672B, 4.57MB / 0B
OK,10,2,8883699116b6, func_prometheus.1.xtf4kl6y5binong6at3ipla9j, 0.00%, 17.4MiB / 500MiB, 3.48%, 3.48kB / 665B, 27.7MB / 0B
OK,10,2,604deabc917b, func_gateway.1.i6ropav5ril9scchhhi9axpdr, 9.18%, 4.488MiB / 3.871GiB, 0.11%, 66.7kB / 32.2kB, 582kB / 0B
OK,10,2,cd9a2a6184d8, func_nats.1.autl5vvyy22csefo17ziptvqc, 0.31%, 3.691MiB / 125MiB, 2.95%, 5.64kB / 2.85kB, 1.22MB / 0B
OK,10,2,ffada384d61a, func_faas-swarm.1.nssrquk7czomi4x3qa5hie7rq, 21.93%, 7.141MiB / 3.871GiB, 0.18%, 33.6kB / 62.6kB, 770kB / 0B
OK,10,2,ba54cde571cb, func_basic-auth-plugin.1.zmckz1l6ga5ovu66j3n752iog, 0.00%, 2.883MiB / 3.871GiB, 0.07%, 2.72kB / 0B, 1.61MB / 0B
[2J[HOK,10,2,11069cb3a8a9, func_queue-worker.1.tj129aiqwiz6d1b0mcvm8jstf, 0.07%, 3.141MiB / 50MiB, 6.28%, 3.24kB / 1.69kB, 0B / 0B
OK,10,2,e43b0d0f6446, func_alertmanager.1.bj8l5scneb5vojy5a3ylm32o9, 0.28%, 9.332MiB / 50MiB, 18.66%, 2.99kB / 672B, 4.57MB / 0B
OK,10,2,8883699116b6, func_prometheus.1.xtf4kl6y5binong6at3ipla9j, 0.00%, 17.4MiB / 500MiB, 3.48%, 3.48kB / 665B, 27.7MB / 0B
OK,10,2,604deabc917b, func_gateway.1.i6ropav5ril9scchhhi9axpdr, 9.18%, 4.488MiB / 3.871GiB, 0.11%, 66.7kB / 32.2kB, 582kB / 0B
OK,10,2,cd9a2a6184d8, func_nats.1.autl5vvyy22csefo17ziptvqc, 0.31%, 3.691MiB / 125MiB, 2.95%, 5.64kB / 2.85kB, 1.22MB / 0B
OK,10,2,ffada384d61a, func_faas-swarm.1.nssrquk7czomi4x3qa5hie7rq, 21.93%, 7.141MiB / 3.871GiB, 0.18%, 33.6kB / 62.6kB, 770kB / 0B
OK,10,2,ba54cde571cb, func_basic-auth-plugin.1.zmckz1l6ga5ovu66j3n752iog, 0.00%, 2.883MiB / 3.871GiB, 0.07%, 2.72kB / 0B, 1.61MB / 0B
[2J[HOK,10,2,11069cb3a8a9, func_queue-worker.1.tj129aiqwiz6d1b0mcvm8jstf, 0.00%, 3.141MiB / 50MiB, 6.28%, 3.55kB / 1.69kB, 0B / 0B
OK,10,2,e43b0d0f6446, func_alertmanager.1.bj8l5scneb5vojy5a3ylm32o9, 0.23%, 9.332MiB / 50MiB, 18.66%, 3.1kB / 672B, 4.57MB / 0B
OK,10,2,8883699116b6, func_prometheus.1.xtf4kl6y5binong6at3ipla9j, 0.53%, 17.44MiB / 500MiB, 3.49%, 5.55kB / 1.22kB, 27.7MB / 0B
OK,10,2,604deabc917b, func_gateway.1.i6ropav5ril9scchhhi9axpdr, 9.35%, 5.492MiB / 3.871GiB, 0.14%, 78kB / 42.5kB, 582kB / 0B
OK,10,2,cd9a2a6184d8, func_nats.1.autl5vvyy22csefo17ziptvqc, 0.22%, 3.691MiB / 125MiB, 2.95%, 5.68kB / 2.85kB, 1.22MB / 0B
OK,10,2,ffada384d61a, func_faas-swarm.1.nssrquk7czomi4x3qa5hie7rq, 20.63%, 7.168MiB / 3.871GiB, 0.18%, 41.4kB / 73.2kB, 770kB / 0B
OK,10,2,ba54cde571cb, func_basic-auth-plugin.1.zmckz1l6ga5ovu66j3n752iog, 0.00%, 2.883MiB / 3.871GiB, 0.07%, 2.77kB / 0B, 1.61MB / 0B
[2J[HOK,10,2,11069cb3a8a9, func_queue-worker.1.tj129aiqwiz6d1b0mcvm8jstf, 0.00%, 3.141MiB / 50MiB, 6.28%, 3.55kB / 1.69kB, 0B / 0B
OK,10,2,e43b0d0f6446, func_alertmanager.1.bj8l5scneb5vojy5a3ylm32o9, 0.23%, 9.332MiB / 50MiB, 18.66%, 3.1kB / 672B, 4.57MB / 0B
OK,10,2,8883699116b6, func_prometheus.1.xtf4kl6y5binong6at3ipla9j, 0.53%, 17.44MiB / 500MiB, 3.49%, 5.55kB / 1.22kB, 27.7MB / 0B
OK,10,2,604deabc917b, func_gateway.1.i6ropav5ril9scchhhi9axpdr, 9.35%, 5.492MiB / 3.871GiB, 0.14%, 78kB / 42.5kB, 582kB / 0B
OK,10,2,cd9a2a6184d8, func_nats.1.autl5vvyy22csefo17ziptvqc, 0.22%, 3.691MiB / 125MiB, 2.95%, 5.68kB / 2.85kB, 1.22MB / 0B
OK,10,2,ffada384d61a, func_faas-swarm.1.nssrquk7czomi4x3qa5hie7rq, 20.63%, 7.168MiB / 3.871GiB, 0.18%, 41.4kB / 73.2kB, 770kB / 0B
OK,10,2,ba54cde571cb, func_basic-auth-plugin.1.zmckz1l6ga5ovu66j3n752iog, 0.00%, 2.883MiB / 3.871GiB, 0.07%, 2.77kB / 0B, 1.61MB / 0B
[2J[HOK,10,2,11069cb3a8a9, func_queue-worker.1.tj129aiqwiz6d1b0mcvm8jstf, 0.00%, 3.141MiB / 50MiB, 6.28%, 3.55kB / 1.69kB, 0B / 0B
OK,10,2,e43b0d0f6446, func_alertmanager.1.bj8l5scneb5vojy5a3ylm32o9, 0.29%, 9.332MiB / 50MiB, 18.66%, 3.1kB / 672B, 4.57MB / 0B
OK,10,2,8883699116b6, func_prometheus.1.xtf4kl6y5binong6at3ipla9j, 0.00%, 17.44MiB / 500MiB, 3.49%, 5.62kB / 1.22kB, 27.7MB / 0B
OK,10,2,604deabc917b, func_gateway.1.i6ropav5ril9scchhhi9axpdr, 12.84%, 5.934MiB / 3.871GiB, 0.15%, 88.8kB / 50.6kB, 582kB / 0B
OK,10,2,cd9a2a6184d8, func_nats.1.autl5vvyy22csefo17ziptvqc, 0.32%, 3.691MiB / 125MiB, 2.95%, 5.75kB / 2.85kB, 1.22MB / 0B
OK,10,2,ffada384d61a, func_faas-swarm.1.nssrquk7czomi4x3qa5hie7rq, 20.63%, 7.184MiB / 3.871GiB, 0.18%, 49.4kB / 84kB, 770kB / 0B
