Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds),,,,,,,,,,Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds),,,,,
1,115.044,5.752,,,,,,,,,,1,123.847,6.192,,,,,
1,95.368,4.768,,,Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds),Total_Time(seconds),,,,1,136.485,6.824,,Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds),Total_Time(seconds)
1,96.363,4.818,,,1,102.2583333,5.112666667,102.2583333,,,,1,137.614,6.881,,1,132.6486667,6.632333333,132.6486667
2,316.99,31.699,,,2,306.8156667,30.68166667,306.8156667,,,,2,343.183,34.318,,2,334.631,33.463,334.631
2,305.381,30.538,,,3,281.4296667,42.21466667,281.4296667,,,,2,335.171,33.517,,3,291.2976667,43.69466667,291.2976667
2,298.076,29.808,,,4,289.403,57.88066667,289.403,,,,2,325.539,32.554,,4,292.4623333,58.49266667,292.4623333
3,281.698,42.255,,,5,218.9923333,54.748,218.9923333,,,,3,290.481,43.572,,5,227.128,56.782,227.128
3,279.721,41.958,,,6,0,0,0,,,,3,289.375,43.406,,6,0,0,0
3,282.87,42.431,,,7,0,0,0,,,,3,294.037,44.106,,7,0,0,0
4,289.493,57.899,,,8,0,0,0,,,,4,290.826,58.165,,8,0,0,0
4,287.074,57.415,,,9,0,0,0,,,,4,293.628,58.726,,9,0,0,0
4,291.642,58.328,,,10,190.5016667,95.25066667,190.5016667,,,,4,292.933,58.587,,10,204.7206667,102.3603333,204.7206667
5,224.705,56.176,,,11,0,0,0,,,,5,225.695,56.424,,11,0,0,0
5,215.48,53.87,,,12,0,0,0,,,,5,226.71,56.677,,12,0,0,0
5,216.792,54.198,,,13,0,0,0,,,,5,228.979,57.245,,13,0,0,0
6,185.887,55.766,,,14,0,0,0,,,,6,199.08,59.724,,14,0,0,0
6,185.108,55.532,,,15,214.5436667,167.553,214.5436667,,,,6,202.071,60.621,,15,222.519,166.8893333,222.519
6,184.29,55.287,,,16,0,0,0,,,,6,200.971,60.291,,16,0,0,0
7,190.167,66.558,,,17,0,0,0,,,,7,202.779,70.973,,17,0,0,0
7,190.502,66.676,,,18,0,0,0,,,,7,205.079,71.778,,18,0,0,0
7,190.393,66.638,,,19,0,0,0,,,,7,205.764,72.017,,19,0,0,0
8,204.857,81.943,,,20,195.3783333,195.3783333,195.3783333,,,,8,216.549,86.62,,20,205.8846667,205.8846667,205.8846667
8,203.366,81.346,,,,,,,,,,8,218.012,87.205,,,,,
8,207.583,83.033,,,,,,,,,,8,218.291,87.316,,,,,
9,185.061,83.277,,,,,,,,,,9,198.047,89.121,,,,,
9,183.879,82.746,,,,,,,,,,9,198.549,89.347,,,,,
9,184.299,82.935,,,,,,,,,,9,199.942,89.974,,,,,
10,191.053,95.526,,,,,,,,,,10,208.329,104.165,,,,,
10,190.106,95.053,,,,,,,,,,10,202.566,101.283,,,,,
10,190.346,95.173,,,,,,,,,,10,203.267,101.633,,,,,
11,190.457,104.751,,,,,,,,,,11,201.821,111.002,,,,,
11,189.907,104.449,,,,,,,,,,11,203.61,111.986,,,,,
11,190.837,104.96,,,,,,,,,,11,203.648,112.006,,,,,
12,190.513,114.308,,,,,,,,,,12,203.45,122.07,,,,,
12,190.242,114.145,,,,,,,,,,12,202.643,121.586,,,,,
12,190.498,114.299,,,,,,,,,,12,203.712,122.227,,,,,
13,191.703,124.607,,,,,,,,,,13,203.923,132.55,,,,,
13,191.439,124.435,,,,,,,,,,13,205.599,133.639,,,,,
13,192.001,124.801,,,,,,,,,,13,205.132,133.336,,,,,
14,194.295,136.006,,,,,,,,,,14,207.19,145.033,,,,,
14,194.315,136.02,,,,,,,,,,14,207.67,145.369,,,,,
14,194.173,135.921,,,,,,,,,,14,207.841,145.489,,,,,
15,214.273,160.705,,,,,,,,,,15,220.089,165.067,,,,,
15,214.859,161.144,,,,,,,,,,15,223.011,167.258,,,,,
15,214.499,160.874,,,,,,,,,,15,224.457,168.343,,,,,
16,209.912,167.93,,,,,,,,,,16,220.831,176.665,,,,,
16,208.698,166.958,,,,,,,,,,16,219.544,175.635,,,,,
16,209.714,167.771,,,,,,,,,,16,222.818,178.254,,,,,
17,210.886,179.253,,,,,,,,,,17,220.125,187.106,,,,,
17,203.971,173.375,,,,,,,,,,17,218.841,186.015,,,,,
17,212.77,180.855,,,,,,,,,,17,218.713,185.906,,,,,
18,189.695,170.725,,,,,,,,,,18,200.649,180.584,,,,,
18,189.083,170.175,,,,,,,,,,18,202.511,182.26,,,,,
18,189.726,170.753,,,,,,,,,,18,203.481,183.133,,,,,
19,194.828,185.087,,,,,,,,,,19,205.244,194.982,,,,,
19,194.282,184.568,,,,,,,,,,19,205.7,195.415,,,,,
19,194.656,184.923,,,,,,,,,,19,206.178,195.869,,,,,
20,195.066,195.066,,,,,,,,,,20,205.346,205.346,,,,,
20,195.848,195.848,,,,,,,,,,20,205.898,205.898,,,,,
20,195.221,195.221,,,,,,,,,,20,206.41,206.41,,,,,
