,"	Jetson nano",,,"Raspberry Pi		",,
Appnames,"	CPU","	Memory","	Exec time","	CPU","	Memory","	Exec time"
image-classification-alexnet-cpu,"	83.71040441","	359.4323529","	5.79775","	106.5899004","	369.902","	5.13425"
image-classification-with-cpu,"	167.2938191","	65.5455","	0.862580645","	107.6668111","	59.538","	1.11326087"
sentiment-analysis,"	95.96923477","	56.144","	4.6179","	98.6561396","	55.7825","	3.9712"
matrix-multiplication-high,"	304.3350313","	48.7545","	6.9739","	335.1187485","	27.264","	6.4842"
iperf3,"	152.8760875","	35.8195","	10.0549","	171.4523647","	11.5785","	10.021"
object-classification-yolo-no-gpu,"	97.45024426","	122.6765","	6.069166667","	98.69308107","	110.428","	5.082916667"
image-processing-pillow,"	98.81583108","	20.797","	18.19373333","	99.41685904","	18.915","	18.1403"
floating-point-operation-cosine,"	100.5314695","	24.18","	20.8279","	101.7850045","	29.91473684","	18.045"
fast-fourier-transform,"	103.6334226","	81.24705882","	3.9401","	102.8062428","	68.41526316","	2.835052632"
matrix-multiplication-medium,"	289.344247","	78.3765","	4.3723","	315.9653815","	24.3095","	4.0068"
dd-cmd,"	17.76565671","	14.034","	29.7545","	19.33004164","	19.116","	26.2752"
floating-point-operation-sine,"	100.5561129","	19.901","	20.4959","	101.7149506","	38.73315789","	18.00778947"
speech-to-text,"	29.77000311","	13.02588235","	5.5823","	29.46789066","	12.1395","	5.1873"
sorter,"	87.57678837","	289.3582353","	2.96","	98.03523892","	127.9075","	2.85"
matrix-multiplication-low,"	249.9765622","	141.2535","	1.4209","	263.9269594","	45.669","	1.4682"
floating-point-operation-sqrt,"	100.0392306","	41.55529412","	8.3087","	100.372818","	49.692","	7.5922"
"						",,,,,,
image-classification-with-cuda,"	90.51833489","	718.45","	11.00472527			",,,
image-classification-alexnet-gpu,"	58.64660088","	1050.401","	28.816125			",,,
object-classification-yolo-gpu,"	90.48662737","	106.172","	4.860571429			",,,
