Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds),,,,,,Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds)
1,167.266,8.363,,,,,,1,156.538,7.827
1,168.943,8.447,,,,,,1,156.597,7.83
1,166.358,8.318,,,,,,1,154.895,7.745
2,90.567,9.057,,,,,,2,85.809,8.581
2,91.4,9.14,,,,,,2,83.747,8.375
2,89.365,8.936,,,,,,2,83.866,8.387
3,65.696,9.854,,,,,,3,61.947,9.292
3,66.67,10,,,,,,3,63.167,9.475
3,66.579,9.987,,,,,,3,61.882,9.282
4,52.025,10.405,,,,,,4,47.68,9.536
4,52.092,10.418,,,,,,4,51.58,10.316
4,54.105,10.821,,,,,,4,50.538,10.108
5,51.232,12.808,,,,,,5,48.696,12.174
5,50.282,12.57,,,,,,5,53.663,13.416
5,51.06,12.765,,,,,,5,53.632,13.408
6,53.574,16.072,,,,,,6,54.825,16.448
6,53.634,16.09,,,,,,6,57.19,17.157
6,53.649,16.095,,,,,,6,59.474,17.842
7,50.699,17.745,,,,,,7,52.833,18.492
7,49.166,17.208,,,,,,7,54.988,19.246
7,49.396,17.289,,,,,,7,54.531,19.086
8,51.263,20.505,,,,,,8,56.301,22.52
8,52.482,20.993,,,,,,8,57.24,22.896
8,51.661,20.664,,,,,,8,57.846,23.138
9,54.156,24.37,,,,,,9,58.382,26.272
9,53.984,24.293,,,,,,9,60.744,27.335
9,54.86,24.687,,,,,,9,59.637,26.837
10,50.851,25.425,,,,,,10,54.679,27.339
10,51.132,25.566,,,,,,10,55.604,27.802
10,49.936,24.968,,,,,,10,55.686,27.843
11,50.413,27.727,,,,,,11,56.519,31.085
11,51.685,28.427,,,,,,11,57.792,31.786
11,49.333,27.133,,,,,,11,58.205,32.013
12,50.76,30.456,,,,,,12,56.815,34.089
12,50.348,30.209,,,,,,12,56.838,34.103
12,52.24,31.344,,,,,,12,56.716,34.03
13,49.569,32.22,,,,,,13,56.637,36.814
13,51.475,33.459,,,,,,13,55.298,35.944
13,50.003,32.502,,,,,,13,57.011,37.057
14,51.546,36.082,,,,,,14,56.847,39.793
14,50.53,35.371,,,,,,14,56.169,39.318
14,50.307,35.215,,,,,,14,58.254,40.778
15,49.763,37.322,,,,,,15,56.726,42.544
15,48.916,36.687,,,,,,15,56.188,42.141
15,55.811,41.858,,,,,,15,56.206,42.154
16,51.788,41.43,,,,,,16,59.979,47.983
16,51.638,41.31,,,,,,16,55.471,44.377
16,52.561,42.049,,,,,,16,57.223,45.778
17,52.864,44.934,,,,,,17,58.753,49.94
17,53.978,45.881,,,,,,17,57.898,49.213
17,54.507,46.331,,,,,,17,58.476,49.705
18,55.626,50.063,,,,,,18,62.259,56.033
18,54.683,49.215,,,,,,18,60.555,54.499
18,54.774,49.297,,,,,,18,60.02,54.018
19,50.391,47.871,,,,,,19,56.889,54.045
19,50.606,48.076,,,,,,19,55.043,52.291
19,49.505,47.03,,,,,,19,55.367,52.599
20,50.316,50.316,,,,,,20,57.364,57.364
20,50.533,50.533,,,,,,20,56.505,56.505
20,50.603,50.603,,,,,,20,54.664,54.664
