Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds)
1,156.538,7.827
1,156.597,7.83
1,154.895,7.745
2,85.809,8.581
2,83.747,8.375
2,83.866,8.387
3,61.947,9.292
3,63.167,9.475
3,61.882,9.282
4,47.68,9.536
4,51.58,10.316
4,50.538,10.108
5,48.696,12.174
5,53.663,13.416
5,53.632,13.408
6,54.825,16.448
6,57.19,17.157
6,59.474,17.842
7,52.833,18.492
7,54.988,19.246
7,54.531,19.086
8,56.301,22.52
8,57.24,22.896
8,57.846,23.138
9,58.382,26.272
9,60.744,27.335
9,59.637,26.837
10,54.679,27.339
10,55.604,27.802
10,55.686,27.843
11,56.519,31.085
11,57.792,31.786
11,58.205,32.013
12,56.815,34.089
12,56.838,34.103
12,56.716,34.03
13,56.637,36.814
13,55.298,35.944
13,57.011,37.057
14,56.847,39.793
14,56.169,39.318
14,58.254,40.778
15,56.726,42.544
15,56.188,42.141
15,56.206,42.154
16,59.979,47.983
16,55.471,44.377
16,57.223,45.778
17,58.753,49.94
17,57.898,49.213
17,58.476,49.705
18,62.259,56.033
18,60.555,54.499
18,60.02,54.018
19,56.889,54.045
19,55.043,52.291
19,55.367,52.599
20,57.364,57.364
20,56.505,56.505
20,54.664,54.664
