Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds),,,,,Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds)
1,56.753,2.838,,,,,1,52.524,2.626
1,57.641,2.882,,,,,1,54.241,2.712
1,55.483,2.774,,,,,1,53.383,2.669
2,53.117,5.312,,,,,2,36.575,3.658
2,48.094,4.809,,,,,2,36.348,3.635
2,47.538,4.754,,,,,2,38.7,3.87
3,40.275,6.041,,,,,3,33.209,4.981
3,40.077,6.012,,,,,3,33.411,5.012
3,40.672,6.101,,,,,3,34.44,5.166
4,38.456,7.691,,,,,4,30.281,6.056
4,36.257,7.251,,,,,4,30.87,6.174
4,36.129,7.226,,,,,4,30.825,6.165
5,36.572,9.143,,,,,5,29.608,7.402
5,35.504,8.876,,,,,5,30.463,7.616
5,35.695,8.924,,,,,5,30.558,7.639
6,34.273,10.282,,,,,6,29.748,8.924
6,34.285,10.285,,,,,6,31.092,9.328
6,34.754,10.426,,,,,6,30.542,9.163
7,34.761,12.166,,,,,7,29.531,10.336
7,32.958,11.535,,,,,7,30.5,10.675
7,32.856,11.5,,,,,7,30.25,10.588
8,33.045,13.218,,,,,8,31.521,12.608
8,32.919,13.168,,,,,8,30.622,12.249
8,32.626,13.05,,,,,8,30.196,12.078
9,32.755,14.74,,,,,9,32.922,14.815
9,32.781,14.751,,,,,9,31.213,14.046
9,32.867,14.79,,,,,9,31.007,13.953
10,31.637,15.819,,,,,10,31.709,15.854
10,31.405,15.703,,,,,10,30.163,15.082
10,32.097,16.049,,,,,10,29.845,14.922
11,31.361,17.249,,,,,11,32.166,17.691
11,30.99,17.044,,,,,11,30.168,16.592
11,31.088,17.098,,,,,11,30.22,16.621
12,30.955,18.573,,,,,12,31.981,19.189
12,31.512,18.907,,,,,12,30.286,18.172
12,31.665,18.999,,,,,12,30.411,18.247
13,31.432,20.431,,,,,13,31.207,20.285
13,31.956,20.771,,,,,13,30.274,19.678
13,31.963,20.776,,,,,13,30.504,19.828
14,33.43,23.401,,,,,14,31.545,22.081
14,31.752,22.226,,,,,14,30.987,21.691
14,31.399,21.979,,,,,14,30.525,21.367
15,32.01,24.008,,,,,15,31.744,23.808
15,31.641,23.731,,,,,15,31.42,23.565
15,31.901,23.926,,,,,15,31.335,23.501
16,32.42,25.936,,,,,16,32.749,26.199
16,32.319,25.855,,,,,16,31.708,25.366
16,32.015,25.612,,,,,16,32.279,25.823
17,33.07,28.11,,,,,17,32.422,27.559
17,32.412,27.55,,,,,17,32.802,27.882
17,32.445,27.578,,,,,17,32.465,27.595
18,31.452,28.307,,,,,18,33.332,29.999
18,32.477,29.229,,,,,18,33.451,30.106
18,32.071,28.864,,,,,18,33.554,30.199
19,30.972,29.423,,,,,19,32.658,31.025
19,30.511,28.985,,,,,19,33.09,31.436
20,31.045,31.045,,,,,19,32.713,31.077
20,30.353,30.353,,,,,20,32.73,32.73
20,30.687,30.687,,,,,20,33.196,33.196
,,,,,,,20,33.916,33.916
