Concurrency,Total_Time(seconds),Time_for_Each_Group(seconds)
1,362.755,18.138
1,362.065,18.103
1,362.305,18.115
2,196.793,19.679
2,196.912,19.691
2,199.455,19.946
3,143.667,21.55
3,145.559,21.834
3,145.079,21.762
4,126.868,25.374
4,124.956,24.991
4,125.802,25.16
5,127.438,31.86
5,130.191,32.548
5,129.899,32.475
6,139.524,41.857
6,140.624,42.187
6,140.181,42.054
7,126.396,44.239
7,130.722,45.753
7,131.039,45.864
8,135.421,54.168
8,131.61,52.644
8,135.797,54.319
9,138.974,62.538
9,140.327,63.147
9,143.38,64.521
10,127.35,63.675
10,128.923,64.462
10,131.522,65.761
11,131.747,72.461
11,132.357,72.796
11,132.562,72.909
12,130.987,78.592
12,131.935,79.161
12,132.148,79.289
13,132.704,86.258
13,133.084,86.505
13,132.272,85.977
14,132.003,92.402
14,133.126,93.188
14,135.443,94.81
15,132.083,99.062
15,134.175,100.631
15,134.118,100.588
16,133.949,107.159
16,134.461,107.569
16,137.585,110.068
17,136.376,115.92
17,137.152,116.579
17,139.057,118.198
18,141.364,127.228
18,141.768,127.591
18,142.719,128.447
19,128.192,121.782
19,130.041,123.539
19,129.767,123.279
20,132.323,132.323
20,134.825,134.825
20,132.057,132.057
